# Analysis start time: 				19969.760000000002 ms
# Analysis stop time:				25038.879999999997 ms
# Upper limit for maxima:			50.0 mV
# Lower limit for maxima:			-10.0 mV
# Upper limit for minima:			-50.0 mV
# Lower limit for minima:			-90.0 mV
# Maximum peak half width:			250.0 ms
# Minimum peak amplitude:			50.0 mV
# Running average window size:		25
# Window multiplier for derivative:	1.0
# Window multiplier for maxima:		4.0
# Window multiplier for minima:		16.0
# Time (ms)	Averaged signal (mV)	Filtered average (mV)
-1.859400e+02	-9.269964e+00	-9.281476e+00
-1.859200e+02	-9.278368e+00	-9.287260e+00
-1.859000e+02	-9.289804e+00	-9.294116e+00
-1.858800e+02	-9.302259e+00	-9.301981e+00
-1.858600e+02	-9.313207e+00	-9.310804e+00
-1.858400e+02	-9.324776e+00	-9.320631e+00
-1.858200e+02	-9.333804e+00	-9.331222e+00
-1.858000e+02	-9.343716e+00	-9.342615e+00
-1.857800e+02	-9.352618e+00	-9.354459e+00
-1.857600e+02	-9.365335e+00	-9.366472e+00
-1.857400e+02	-9.380462e+00	-9.378621e+00
-1.857200e+02	-9.394588e+00	-9.390699e+00
-1.857000e+02	-9.405136e+00	-9.402486e+00
-1.856800e+02	-9.415945e+00	-9.413678e+00
-1.856600e+02	-9.427003e+00	-9.424738e+00
-1.856400e+02	-9.438575e+00	-9.436060e+00
-1.856200e+02	-9.450275e+00	-9.447731e+00
-1.856000e+02	-9.459690e+00	-9.459580e+00
-1.855800e+02	-9.471131e+00	-9.471743e+00
-1.855600e+02	-9.479520e+00	-9.484095e+00
-1.855400e+02	-9.490974e+00	-9.496283e+00
-1.855200e+02	-9.505071e+00	-9.508294e+00
-1.855000e+02	-9.517546e+00	-9.520444e+00
-1.854800e+02	-9.530640e+00	-9.532850e+00
-1.854600e+02	-9.544374e+00	-9.545624e+00
-1.854400e+02	-9.560260e+00	-9.558423e+00
-1.854200e+02	-9.575656e+00	-9.571091e+00
-1.854000e+02	-9.587478e+00	-9.583612e+00
