# Analysis start time: 				19969.760000000002 ms
# Analysis stop time:				21377.960000000003 ms
# Upper limit for maxima:			50.0 mV
# Lower limit for maxima:			-10.0 mV
# Upper limit for minima:			-50.0 mV
# Lower limit for minima:			-90.0 mV
# Maximum peak half width:			250.0 ms
# Minimum peak amplitude:			50.0 mV
# Running average window size:		25
# Window multiplier for derivative:	1.0
# Window multiplier for maxima:		4.0
# Window multiplier for minima:		16.0
# Time (ms)	Averaged signal (mV)	Filtered average (mV)
-1.778400e+02	-3.217008e+01	-3.220071e+01
-1.778200e+02	-3.219860e+01	-3.221507e+01
-1.778000e+02	-3.222400e+01	-3.223177e+01
-1.777800e+02	-3.224998e+01	-3.225018e+01
-1.777600e+02	-3.226725e+01	-3.227008e+01
-1.777400e+02	-3.229420e+01	-3.229144e+01
-1.777200e+02	-3.231710e+01	-3.231415e+01
-1.777000e+02	-3.234762e+01	-3.233734e+01
-1.776800e+02	-3.237558e+01	-3.236093e+01
-1.776600e+02	-3.239593e+01	-3.238442e+01
-1.776400e+02	-3.241985e+01	-3.240779e+01
-1.776200e+02	-3.244122e+01	-3.243068e+01
-1.776000e+02	-3.245750e+01	-3.245285e+01
-1.775800e+02	-3.247478e+01	-3.247347e+01
-1.775600e+02	-3.248852e+01	-3.249464e+01
-1.775400e+02	-3.250935e+01	-3.251587e+01
-1.775200e+02	-3.253123e+01	-3.253727e+01
-1.775000e+02	-3.255057e+01	-3.255794e+01
-1.774800e+02	-3.256682e+01	-3.257834e+01
-1.774600e+02	-3.259277e+01	-3.259858e+01
-1.774400e+02	-3.261667e+01	-3.261906e+01
-1.774200e+02	-3.264515e+01	-3.264012e+01
-1.774000e+02	-3.266907e+01	-3.266160e+01
-1.773800e+02	-3.269247e+01	-3.268339e+01
-1.773600e+02	-3.271178e+01	-3.270570e+01
-1.773400e+02	-3.273622e+01	-3.272782e+01
-1.773200e+02	-3.274995e+01	-3.274997e+01
-1.773000e+02	-3.276822e+01	-3.277152e+01
-1.772800e+02	-3.278503e+01	-3.279322e+01
-1.772600e+02	-3.280740e+01	-3.281449e+01
-1.772400e+02	-3.283283e+01	-3.283536e+01
-1.772200e+02	-3.285472e+01	-3.285567e+01
-1.772000e+02	-3.288067e+01	-3.287607e+01
-1.771800e+02	-3.290253e+01	-3.289659e+01
-1.771600e+02	-3.292033e+01	-3.291838e+01
-1.771400e+02	-3.294372e+01	-3.294067e+01
-1.771200e+02	-3.296153e+01	-3.296352e+01
-1.771000e+02	-3.298540e+01	-3.298660e+01
-1.770800e+02	-3.300477e+01	-3.301048e+01
-1.770600e+02	-3.302918e+01	-3.303411e+01
-1.770400e+02	-3.304647e+01	-3.305743e+01
-1.770200e+02	-3.307445e+01	-3.307999e+01
-1.770000e+02	-3.310140e+01	-3.310209e+01
-1.769800e+02	-3.312785e+01	-3.312381e+01
-1.769600e+02	-3.315482e+01	-3.314518e+01
-1.769400e+02	-3.318177e+01	-3.316700e+01
-1.769200e+02	-3.319498e+01	-3.318863e+01
-1.769000e+02	-3.321585e+01	-3.321001e+01
-1.768800e+02	-3.323517e+01	-3.323142e+01
-1.768600e+02	-3.325498e+01	-3.325272e+01
-1.768400e+02	-3.326873e+01	-3.327363e+01
-1.768200e+02	-3.328552e+01	-3.329436e+01
-1.768000e+02	-3.330433e+01	-3.331538e+01
-1.767800e+02	-3.332722e+01	-3.333604e+01
-1.767600e+02	-3.335065e+01	-3.335674e+01
-1.767400e+02	-3.337808e+01	-3.337730e+01
-1.767200e+02	-3.340403e+01	-3.339818e+01
-1.767000e+02	-3.342183e+01	-3.341984e+01
-1.766800e+02	-3.344675e+01	-3.344214e+01
-1.766600e+02	-3.346863e+01	-3.346445e+01
-1.766400e+02	-3.349052e+01	-3.348707e+01
-1.766200e+02	-3.350830e+01	-3.350965e+01
-1.766000e+02	-3.353628e+01	-3.353277e+01
-1.765800e+02	-3.355762e+01	-3.355565e+01
-1.765600e+02	-3.357493e+01	-3.357871e+01
-1.765400e+02	-3.359375e+01	-3.360118e+01
-1.765200e+02	-3.361665e+01	-3.362346e+01
-1.765000e+02	-3.364563e+01	-3.364553e+01
-1.764800e+02	-3.367053e+01	-3.366817e+01
-1.764600e+02	-3.369038e+01	-3.369111e+01
-1.764400e+02	-3.371530e+01	-3.371361e+01
-1.764200e+02	-3.373718e+01	-3.373632e+01
-1.764000e+02	-3.376010e+01	-3.375890e+01
-1.763800e+02	-3.378803e+01	-3.378118e+01
-1.763600e+02	-3.380635e+01	-3.380328e+01
-1.763400e+02	-3.382872e+01	-3.382596e+01
-1.763200e+02	-3.384248e+01	-3.384867e+01
-1.763000e+02	-3.386842e+01	-3.387076e+01
-1.762800e+02	-3.389182e+01	-3.389263e+01
-1.762600e+02	-3.391723e+01	-3.391432e+01
-1.762400e+02	-3.393400e+01	-3.393639e+01
-1.762200e+02	-3.395437e+01	-3.395865e+01
-1.762000e+02	-3.397877e+01	-3.398079e+01
-1.761800e+02	-3.399912e+01	-3.400284e+01
-1.761600e+02	-3.402252e+01	-3.402465e+01
-1.761400e+02	-3.405002e+01	-3.404614e+01
-1.761200e+02	-3.407083e+01	-3.406759e+01
-1.761000e+02	-3.408865e+01	-3.408881e+01
-1.760800e+02	-3.410847e+01	-3.410966e+01
-1.760600e+02	-3.413390e+01	-3.412942e+01
-1.760400e+02	-3.415273e+01	-3.414878e+01
-1.760200e+02	-3.417308e+01	-3.416790e+01
-1.760000e+02	-3.419037e+01	-3.418688e+01
-1.759800e+02	-3.420715e+01	-3.420525e+01
-1.759600e+02	-3.422190e+01	-3.422356e+01
-1.759400e+02	-3.423972e+01	-3.424148e+01
-1.759200e+02	-3.425650e+01	-3.425920e+01
-1.759000e+02	-3.427478e+01	-3.427703e+01
-1.758800e+02	-3.429515e+01	-3.429496e+01
-1.758600e+02	-3.430890e+01	-3.431345e+01
-1.758400e+02	-3.432718e+01	-3.433173e+01
-1.758200e+02	-3.434807e+01	-3.435012e+01
-1.758000e+02	-3.436992e+01	-3.436906e+01
-1.757800e+02	-3.438875e+01	-3.438788e+01
-1.757600e+02	-3.440960e+01	-3.440743e+01
-1.757400e+02	-3.443045e+01	-3.442734e+01
-1.757200e+02	-3.444467e+01	-3.444741e+01
-1.757000e+02	-3.446907e+01	-3.446743e+01
-1.756800e+02	-3.448843e+01	-3.448730e+01
-1.756600e+02	-3.450622e+01	-3.450728e+01
-1.756400e+02	-3.453165e+01	-3.452726e+01
-1.756200e+02	-3.454488e+01	-3.454775e+01
-1.756000e+02	-3.456727e+01	-3.456848e+01
-1.755800e+02	-3.458712e+01	-3.458929e+01
-1.755600e+02	-3.460695e+01	-3.461055e+01
-1.755400e+02	-3.463442e+01	-3.463174e+01
-1.755200e+02	-3.465068e+01	-3.465257e+01
-1.755000e+02	-3.466897e+01	-3.467309e+01
-1.754800e+02	-3.468933e+01	-3.469335e+01
-1.754600e+02	-3.471018e+01	-3.471290e+01
-1.754400e+02	-3.473612e+01	-3.473208e+01
-1.754200e+02	-3.475697e+01	-3.475084e+01
-1.754000e+02	-3.478140e+01	-3.476937e+01
-1.753800e+02	-3.479920e+01	-3.478791e+01
-1.753600e+02	-3.481193e+01	-3.480586e+01
-1.753400e+02	-3.482767e+01	-3.482390e+01
-1.753200e+02	-3.483685e+01	-3.484206e+01
-1.753000e+02	-3.485363e+01	-3.486025e+01
-1.752800e+02	-3.487193e+01	-3.487904e+01
-1.752600e+02	-3.489127e+01	-3.489807e+01
-1.752400e+02	-3.491060e+01	-3.491741e+01
-1.752200e+02	-3.492993e+01	-3.493728e+01
-1.752000e+02	-3.495483e+01	-3.495736e+01
-1.751800e+02	-3.497875e+01	-3.497803e+01
-1.751600e+02	-3.499807e+01	-3.499973e+01
-1.751400e+02	-3.502298e+01	-3.502200e+01
-1.751200e+02	-3.504740e+01	-3.504473e+01
-1.751000e+02	-3.507030e+01	-3.506722e+01
-1.750800e+02	-3.509113e+01	-3.508961e+01
-1.750600e+02	-3.511403e+01	-3.511134e+01
-1.750400e+02	-3.513795e+01	-3.513256e+01
-1.750200e+02	-3.515777e+01	-3.515362e+01
-1.750000e+02	-3.517708e+01	-3.517438e+01
-1.749800e+02	-3.519337e+01	-3.519460e+01
-1.749600e+02	-3.521525e+01	-3.521436e+01
-1.749400e+02	-3.523815e+01	-3.523407e+01
-1.749200e+02	-3.524832e+01	-3.525331e+01
-1.749000e+02	-3.526970e+01	-3.527206e+01
-1.748800e+02	-3.528643e+01	-3.529059e+01
-1.748600e+02	-3.530780e+01	-3.530927e+01
-1.748400e+02	-3.532815e+01	-3.532785e+01
-1.748200e+02	-3.534802e+01	-3.534666e+01
-1.748000e+02	-3.537037e+01	-3.536583e+01
-1.747800e+02	-3.538665e+01	-3.538527e+01
-1.747600e+02	-3.540447e+01	-3.540510e+01
-1.747400e+02	-3.542480e+01	-3.542553e+01
-1.747200e+02	-3.544310e+01	-3.544572e+01
-1.747000e+02	-3.545938e+01	-3.546602e+01
-1.746800e+02	-3.548328e+01	-3.548671e+01
-1.746600e+02	-3.550467e+01	-3.550722e+01
-1.746400e+02	-3.552858e+01	-3.552786e+01
-1.746200e+02	-3.554842e+01	-3.554801e+01
-1.746000e+02	-3.557333e+01	-3.556861e+01
-1.745800e+02	-3.559215e+01	-3.558911e+01
-1.745600e+02	-3.561095e+01	-3.560944e+01
-1.745400e+02	-3.563437e+01	-3.562936e+01
-1.745200e+02	-3.565267e+01	-3.564915e+01
-1.745000e+02	-3.566538e+01	-3.566872e+01
-1.744800e+02	-3.568725e+01	-3.568787e+01
