index,file,spikeNumber,numError,errors,dVthreshold,medianFilter,halfHeights,thresholdPnt,thresholdVal,thresholdVal_dvdt,thresholdSec,peakPnt,peakVal,peakSec,peakHeight,preMinPnt,preMinVal,postMinPnt,postMinVal,preLinearFitPnt0,preLinearFitPnt1,earlyDiastolicDuration_ms,preLinearFitVal0,preLinearFitVal1,earlyDiastolicDurationRate,lateDiastolicDuration,preSpike_dvdt_max_pnt,preSpike_dvdt_max_val,preSpike_dvdt_max_val2,postSpike_dvdt_min_pnt,postSpike_dvdt_min_val,postSpike_dvdt_min_val2,isi_pnts,isi_ms,cycleLength_pnts,cycleLength_ms,apDuration_ms,diastolicDuration_ms,widths
120,/Volumes/t3/laura data 2/19503001.abf,120,0,[],50,5,"[10, 50, 90]",5029124,-41.046142578125,9.1552734375,251.45620000000002,5029160,38.14697265625,251.458,79.193115234375,5011457.0,-64.01214599609375,5032365.0,-63.80157470703125,5013223.0,5020290.0,353.35,-63.4765625,-62.713623046875,1.989570716048553,,5029139.0,-3.814697265625,106.8115234375,5029184.0,33.111572265625,-15.2587890625,39911.0,1995.55,40095.0,2004.75,162.05,883.35,"[{'halfHeight': 10, 'risingPnt': 5029004, 'risingVal': -53.558349609375, 'fallingPnt': 5030415, 'fallingVal': -53.7109375, 'widthPnts': 1411, 'widthMs': 70.55}, {'halfHeight': 50, 'risingPnt': 5029138, 'risingVal': -9.1552734375, 'fallingPnt': 5029423, 'fallingVal': -12.969970703125, 'widthPnts': 285, 'widthMs': 14.25}, {'halfHeight': 90, 'risingPnt': 5029148, 'risingVal': 28.533935546875, 'fallingPnt': 5029206, 'fallingVal': 27.923583984375, 'widthPnts': 58, 'widthMs': 2.9}]"
121,/Volumes/t3/laura data 2/19503001.abf,121,0,[],50,5,"[10, 50, 90]",5056781,-42.266845703125,15.2587890625,252.83905,5056822,37.994384765625,252.8411,80.26123046875,5035805.0,-63.80157470703125,5075133.0,-63.09661865234375,5037902.0,5046293.0,419.55,-63.018798828125,-62.255859375,1.9363958570220319,,5056798.0,-12.054443359375,97.65625,5056838.0,35.247802734375,-15.2587890625,27657.0,1382.85,42768.0,2138.4,917.6,1048.8,"[{'halfHeight': 10, 'risingPnt': 5056668, 'risingVal': -52.947998046875, 'fallingPnt': 5058307, 'fallingVal': -53.1005859375, 'widthPnts': 1639, 'widthMs': 81.95}, {'halfHeight': 50, 'risingPnt': 5056798, 'risingVal': -12.054443359375, 'fallingPnt': 5057089, 'fallingVal': -12.664794921875, 'widthPnts': 291, 'widthMs': 14.55}, {'halfHeight': 90, 'risingPnt': 5056809, 'risingVal': 28.533935546875, 'fallingPnt': 5056869, 'fallingVal': 27.77099609375, 'widthPnts': 60, 'widthMs': 3.0}]"
122,/Volumes/t3/laura data 2/19503001.abf,122,0,[],50,5,"[10, 50, 90]",5079810,-41.19873046875,15.2587890625,253.9905,5079848,37.689208984375,253.9924,78.887939453125,5076263.0,-63.09661865234375,5086979.0,-63.0279541015625,5076617.0,5078036.0,70.95,-62.713623046875,-62.56103515625,4.7417550038743626,,5079828.0,0.6103515625,97.65625,5079910.0,24.10888671875,-15.2587890625,23029.0,1151.45,11846.0,592.3,358.45,177.35,"[{'halfHeight': 10, 'risingPnt': 5079682, 'risingVal': -52.947998046875, 'fallingPnt': 5081230, 'fallingVal': -53.1005859375, 'widthPnts': 1548, 'widthMs': 77.4}, {'halfHeight': 50, 'risingPnt': 5079826, 'risingVal': -9.002685546875, 'fallingPnt': 5080125, 'fallingVal': -12.8173828125, 'widthPnts': 299, 'widthMs': 14.95}, {'halfHeight': 90, 'risingPnt': 5079836, 'risingVal': 27.923583984375, 'fallingPnt': 5079897, 'fallingVal': 27.313232421875, 'widthPnts': 61, 'widthMs': 3.05}]"
123,/Volumes/t3/laura data 2/19503001.abf,123,0,[],50,5,"[10, 50, 90]",5094500,-40.58837890625,18.310546875,254.725,5094537,37.384033203125,254.72685,77.972412109375,5087153.0,-63.0279541015625,5097152.0,-60.9649658203125,5087887.0,5090826.0,146.95,-62.713623046875,-62.713623046875,-0.26652082827784207,,5094517.0,-4.119873046875,97.65625,5094554.0,34.7900390625,-15.2587890625,14690.0,734.5,10173.0,508.65,132.6,367.35,"[{'halfHeight': 10, 'risingPnt': 5094414, 'risingVal': -51.116943359375, 'fallingPnt': 5096004, 'fallingVal': -51.26953125, 'widthPnts': 1590, 'widthMs': 79.5}, {'halfHeight': 50, 'risingPnt': 5094516, 'risingVal': -9.002685546875, 'fallingPnt': 5094813, 'fallingVal': -11.90185546875, 'widthPnts': 297, 'widthMs': 14.85}, {'halfHeight': 90, 'risingPnt': 5094527, 'risingVal': 28.533935546875, 'fallingPnt': 5094586, 'fallingVal': 27.4658203125, 'widthPnts': 59, 'widthMs': 2.95}]"
124,/Volumes/t3/laura data 2/19503001.abf,124,0,[],50,5,"[10, 50, 90]",5102651,-39.520263671875,15.2587890625,255.13254999999998,5102691,35.858154296875,255.13455,75.37841796875,5100877.0,-60.9649658203125,5112300.0,-61.18927001953125,5101054.0,5101764.0,35.5,-60.577392578125,-59.2041015625,34.8353894377724,,5102668.0,-3.509521484375,91.552734375,5102717.0,30.82275390625,-12.20703125,8151.0,407.55,15148.0,757.4,482.45,88.7,"[{'halfHeight': 10, 'risingPnt': 5102528, 'risingVal': -51.422119140625, 'fallingPnt': 5103963, 'fallingVal': -51.57470703125, 'widthPnts': 1435, 'widthMs': 71.75}, {'halfHeight': 50, 'risingPnt': 5102666, 'risingVal': -12.51220703125, 'fallingPnt': 5102980, 'fallingVal': -13.12255859375, 'widthPnts': 314, 'widthMs': 15.7}, {'halfHeight': 90, 'risingPnt': 5102678, 'risingVal': 27.923583984375, 'fallingPnt': 5102739, 'fallingVal': 26.092529296875, 'widthPnts': 61, 'widthMs': 3.05}]"
125,/Volumes/t3/laura data 2/19503001.abf,125,0,[],50,5,"[10, 50, 90]",5117276,-39.215087890625,15.2587890625,255.8638,5117321,33.416748046875,255.86605,72.6318359375,5112808.0,-61.18927001953125,5126032.0,-61.248779296875,5113254.0,5115042.0,89.4,-60.4248046875,-56.915283203125,46.44976945078184,,5117296.0,-1.983642578125,85.44921875,5117400.0,18.463134765625,-12.20703125,14625.0,731.25,13732.0,686.6,437.8,223.4,"[{'halfHeight': 10, 'risingPnt': 5117071, 'risingVal': -51.8798828125, 'fallingPnt': 5119016, 'fallingVal': -52.032470703125, 'widthPnts': 1945, 'widthMs': 97.25}, {'halfHeight': 50, 'risingPnt': 5117293, 'risingVal': -13.885498046875, 'fallingPnt': 5117653, 'fallingVal': -14.190673828125, 'widthPnts': 360, 'widthMs': 18.0}, {'halfHeight': 90, 'risingPnt': 5117305, 'risingVal': 24.71923828125, 'fallingPnt': 5117373, 'fallingVal': 23.49853515625, 'widthPnts': 68, 'widthMs': 3.4}]"
126,/Volumes/t3/laura data 2/19503001.abf,126,0,[],50,5,"[10, 50, 90]",5127977,-40.8935546875,9.1552734375,256.39885,5128021,37.078857421875,256.40105,77.972412109375,5126525.0,-61.248779296875,5138888.0,-62.28790283203125,5126670.0,5127251.0,29.05,-60.72998046875,-57.830810546875,101.74181676608363,,5127998.0,0.0,94.6044921875,5128135.0,11.90185546875,-15.2587890625,10701.0,535.05,12856.0,642.8,545.55,72.6,"[{'halfHeight': 10, 'risingPnt': 5127779, 'risingVal': -52.337646484375, 'fallingPnt': 5129229, 'fallingVal': -52.490234375, 'widthPnts': 1450, 'widthMs': 72.5}, {'halfHeight': 50, 'risingPnt': 5127996, 'risingVal': -9.307861328125, 'fallingPnt': 5128300, 'fallingVal': -12.664794921875, 'widthPnts': 304, 'widthMs': 15.2}, {'halfHeight': 90, 'risingPnt': 5128007, 'risingVal': 28.076171875, 'fallingPnt': 5128068, 'fallingVal': 26.85546875, 'widthPnts': 61, 'widthMs': 3.05}]"
127,/Volumes/t3/laura data 2/19503001.abf,127,0,[],50,5,"[10, 50, 90]",5149919,-41.351318359375,18.310546875,257.49595,5149960,38.75732421875,257.498,80.108642578125,5147717.0,-62.28790283203125,5153035.0,-61.97662353515625,5147937.0,5148818.0,44.05,-61.95068359375,-60.882568359375,16.974097014846052,,5149939.0,2.13623046875,97.65625,5150016.0,25.634765625,-15.2587890625,21942.0,1097.1,14147.0,707.35,155.8,110.1,"[{'halfHeight': 10, 'risingPnt': 5149811, 'risingVal': -51.8798828125, 'fallingPnt': 5151281, 'fallingVal': -52.032470703125, 'widthPnts': 1470, 'widthMs': 73.5}, {'halfHeight': 50, 'risingPnt': 5149936, 'risingVal': -11.5966796875, 'fallingPnt': 5150241, 'fallingVal': -11.749267578125, 'widthPnts': 305, 'widthMs': 15.25}, {'halfHeight': 90, 'risingPnt': 5149947, 'risingVal': 28.6865234375, 'fallingPnt': 5150005, 'fallingVal': 28.533935546875, 'widthPnts': 58, 'widthMs': 2.9}]"
128,/Volumes/t3/laura data 2/19503001.abf,128,0,[],50,5,"[10, 50, 90]",5174345,-41.80908203125,9.1552734375,258.71725,5174387,38.299560546875,258.71935,80.108642578125,5161493.0,-61.97662353515625,5177165.0,-61.34796142578125,5162778.0,5167919.0,257.05,-61.492919921875,-61.187744140625,1.1442646076274394,,5174366.0,-4.8828125,94.6044921875,5174581.0,-1.8310546875,-15.2587890625,24426.0,1221.3,24130.0,1206.5,141.0,642.6,"[{'halfHeight': 10, 'risingPnt': 5174243, 'risingVal': -51.26953125, 'fallingPnt': 5175611, 'fallingVal': -51.422119140625, 'widthPnts': 1368, 'widthMs': 68.4}, {'halfHeight': 50, 'risingPnt': 5174365, 'risingVal': -9.613037109375, 'fallingPnt': 5174650, 'fallingVal': -11.5966796875, 'widthPnts': 285, 'widthMs': 14.25}, {'halfHeight': 90, 'risingPnt': 5174376, 'risingVal': 29.60205078125, 'fallingPnt': 5174436, 'fallingVal': 27.923583984375, 'widthPnts': 60, 'widthMs': 3.0}]"
129,/Volumes/t3/laura data 2/19503001.abf,129,0,[],50,5,"[10, 50, 90]",5181704,-39.6728515625,9.1552734375,259.0852,5181742,35.858154296875,259.0871,75.531005859375,5178891.0,-61.34796142578125,5184511.0,-61.3677978515625,5179172.0,5180297.0,56.25,-60.882568359375,-59.50927734375,10.260193292004685,,5181723.0,-0.457763671875,88.5009765625,5181832.0,17.852783203125,-15.2587890625,7359.0,367.95,7346.0,367.3,140.35,140.65,"[{'halfHeight': 10, 'risingPnt': 5181492, 'risingVal': -51.57470703125, 'fallingPnt': 5182823, 'fallingVal': -51.727294921875, 'widthPnts': 1331, 'widthMs': 66.55}, {'halfHeight': 50, 'risingPnt': 5181721, 'risingVal': -9.002685546875, 'fallingPnt': 5182027, 'fallingVal': -12.8173828125, 'widthPnts': 306, 'widthMs': 15.3}, {'halfHeight': 90, 'risingPnt': 5181732, 'risingVal': 27.4658203125, 'fallingPnt': 5181795, 'fallingVal': 26.092529296875, 'widthPnts': 63, 'widthMs': 3.15}]"
