Include=yes;Acq Date=2006-01-11;Acq Time=04:23:12;Species=;Cell Type=;ID=;Age=;Sex=unknown;Genotype=;Condition1=;Condition2=;Note=;
,spikeNumber,detectionType,sweep,epoch,epochLevel,sweepSpikeNumber,userType,errors,analysisDate,analysisTime,modDate,modTime,analysisVersion,interfaceVersion,file,condition,dvdtThreshold,mvThreshold,medianFilter,halfHeights,thresholdPnt,thresholdSec,thresholdVal,thresholdVal_dvdt,dacCommand,peakPnt,peakSec,peakVal,peakHeight,timeToPeak_ms,fastAhpPnt,fastAhpSec,fastAhpValue,preMinPnt,preMinVal,preLinearFitPnt0,preLinearFitPnt1,earlyDiastolicDuration_ms,preLinearFitVal0,preLinearFitVal1,earlyDiastolicDurationRate,lateDiastolicDuration,preSpike_dvdt_max_pnt,preSpike_dvdt_max_val,preSpike_dvdt_max_val2,postSpike_dvdt_min_pnt,postSpike_dvdt_min_val,postSpike_dvdt_min_val2,isi_pnts,isi_ms,spikeFreq_hz,cycleLength_pnts,cycleLength_ms,diastolicDuration_ms,widths,widths_10,widths_20,widths_50,widths_80,widths_90,user_timeToPeak_ms,Include,Acq Date,Acq Time,Species,Cell Type,ID,Age,Sex,Genotype,Condition1,Condition2,Note
0,0,mv,0,0,0.0,0,0,"[{'Spike': 0, 'Seconds': np.float64(0.0397), 'Sweep': 0, 'Epoch': 0, 'Type': 'Pre spike min under-run (mdp)', 'Details': 'Went past startPnt 0 searching for pre-spike min'}]",20260908,16:37:51,,,20230324a,20230324a,20191009_0005.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",397,0.039700000000000006,-18.720354352678562,12.426259566326522,,474,0.0474,14.177594866071422,32.897949218749986,7.699999999999991,550,0.055,11.343819754464281,107,-46.95539202008926,136,252,11.6,-46.07282366071426,-44.66901506696426,63.10160510404337,,406,-9.538922991071423,14.496472417091816,526,12.207031249999995,-5.35614636479591,,,,,,29.0,"[{'halfHeight': 10, 'risingPnt': np.int64(401), 'fallingPnt': np.int64(1212), 'widthPnts': np.int64(811), 'widthMs': np.float64(81.1)}, {'halfHeight': 20, 'risingPnt': np.int64(405), 'fallingPnt': np.int64(1156), 'widthPnts': np.int64(751), 'widthMs': np.float64(75.1)}, {'halfHeight': 50, 'risingPnt': np.int64(416), 'fallingPnt': np.int64(975), 'widthPnts': np.int64(559), 'widthMs': np.float64(55.9)}, {'halfHeight': 80, 'risingPnt': np.int64(434), 'fallingPnt': np.int64(753), 'widthPnts': np.int64(319), 'widthMs': np.float64(31.9)}, {'halfHeight': 90, 'risingPnt': np.int64(444), 'fallingPnt': np.int64(592), 'widthPnts': np.int64(148), 'widthMs': np.float64(14.8)}]",81.1,75.1,55.9,31.9,14.8,7.699999999999991,yes,2006-01-11,04:23:12,,,,,unknown,,,,
1,1,mv,0,0,0.0,1,0,[],20260908,16:37:51,,,20230324a,20230324a,20191009_0005.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",15263,1.5263,-19.993373325892847,11.835837850765303,,15340,1.534,13.680594308035706,33.673967633928555,7.70000000000004,15415,1.5415,10.550362723214281,13915,-50.35749162946426,14050,14589,53.9,-49.62158203124998,-48.20033482142855,28.47448403218475,,15285,-0.5493164062499999,12.590680803571416,15461,11.108398437499995,-6.43484933035714,14866.0,1486.6,0.6726759047490919,13808.0,1380.8,134.8,"[{'halfHeight': 10, 'risingPnt': np.int64(15266), 'fallingPnt': np.int64(16127), 'widthPnts': np.int64(861), 'widthMs': np.float64(86.1)}, {'halfHeight': 20, 'risingPnt': np.int64(15270), 'fallingPnt': np.int64(16065), 'widthPnts': np.int64(795), 'widthMs': np.float64(79.5)}, {'halfHeight': 50, 'risingPnt': np.int64(15282), 'fallingPnt': np.int64(15886), 'widthPnts': np.int64(604), 'widthMs': np.float64(60.4)}, {'halfHeight': 80, 'risingPnt': np.int64(15299), 'fallingPnt': np.int64(15666), 'widthPnts': np.int64(367), 'widthMs': np.float64(36.7)}, {'halfHeight': 90, 'risingPnt': np.int64(15309), 'fallingPnt': np.int64(15523), 'widthPnts': np.int64(214), 'widthMs': np.float64(21.4)}]",86.1,79.5,60.4,36.7,21.4,7.70000000000004,yes,2006-01-11,04:23:12,,,,,unknown,,,,
2,2,mv,0,1,0.0,2,0,[],20260908,16:37:51,,,20230324a,20230324a,20191009_0005.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",52279,5.2279,-19.932338169642847,11.648995535714274,,52349,5.2349,16.278948102678562,36.21128627232141,6.999999999999673,52422,5.2421999999999995,11.570521763392852,50932,-50.77410016741069,51067,51606,53.9,-50.19705636160712,-47.555106026785694,43.50659543451528,,52284,-14.404296874999993,14.013173628826516,52501,11.727469308035708,-5.473234215561224,37016.0,3701.6,0.2701534471579857,37017.0,3701.7,134.7,"[{'halfHeight': 10, 'risingPnt': np.int64(52283), 'fallingPnt': np.int64(53051), 'widthPnts': np.int64(768), 'widthMs': np.float64(76.8)}, {'halfHeight': 20, 'risingPnt': np.int64(52287), 'fallingPnt': np.int64(53003), 'widthPnts': np.int64(716), 'widthMs': np.float64(71.6)}, {'halfHeight': 50, 'risingPnt': np.int64(52299), 'fallingPnt': np.int64(52837), 'widthPnts': np.int64(538), 'widthMs': np.float64(53.8)}, {'halfHeight': 80, 'risingPnt': np.int64(52317), 'fallingPnt': np.int64(52587), 'widthPnts': np.int64(270), 'widthMs': np.float64(27.0)}, {'halfHeight': 90, 'risingPnt': np.int64(52327), 'fallingPnt': np.int64(52405), 'widthPnts': np.int64(78), 'widthMs': np.float64(7.8)}]",76.8,71.6,53.8,27.0,7.8,6.999999999999673,yes,2006-01-11,04:23:12,,,,,unknown,,,,
3,3,mv,0,1,0.0,3,0,"[{'Spike': 3, 'Seconds': np.float64(6.077), 'Sweep': 0, 'Epoch': 1, 'Type': 'Fast AHP was detected at end of fast AHP window', 'Details': 'Consider increasing the fast AHP window with fastAhpWindow_ms'}]",20260908,16:37:51,,,20230324a,20230324a,20191009_0005.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",60770,6.077,-18.990652901785705,10.640047034438764,,60836,6.083600000000001,17.674037388392847,36.664690290178555,6.600000000000605,60915,6.0915,12.651715959821422,59589,-50.64644949776783,59707,60179,47.2,-49.91803850446426,-46.61342075892855,63.876239559943365,,60773,-15.380859374999993,12.324119100765289,60922,12.337820870535708,-3.74930245535714,8491.0,849.1,1.177717583323519,8657.0,865.7,118.1,"[{'halfHeight': 10, 'risingPnt': np.int64(60773), 'fallingPnt': np.int64(61555), 'widthPnts': np.int64(782), 'widthMs': np.float64(78.2)}, {'halfHeight': 20, 'risingPnt': np.int64(60777), 'fallingPnt': np.int64(61503), 'widthPnts': np.int64(726), 'widthMs': np.float64(72.6)}, {'halfHeight': 50, 'risingPnt': np.int64(60789), 'fallingPnt': np.int64(61326), 'widthPnts': np.int64(537), 'widthMs': np.float64(53.7)}, {'halfHeight': 80, 'risingPnt': np.int64(60805), 'fallingPnt': np.int64(61057), 'widthPnts': np.int64(252), 'widthMs': np.float64(25.2)}, {'halfHeight': 90, 'risingPnt': np.int64(60816), 'fallingPnt': np.int64(60895), 'widthPnts': np.int64(79), 'widthMs': np.float64(7.9)}]",78.2,72.6,53.7,25.2,7.9,6.600000000000605,yes,2006-01-11,04:23:12,,,,,unknown,,,,
4,4,mv,0,1,0.0,4,0,[],20260908,16:37:51,,,20230324a,20230324a,20191009_0005.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",95867,9.5867,-19.73179408482142,10.677415497448958,,95935,9.5935,19.217354910714278,38.949148995535694,6.800000000000139,96013,9.601299999999998,13.933454241071422,94308,-50.42114257812497,94464,95088,62.4,-49.30768694196426,-47.145298549107125,29.282024507958365,,95876,-8.850097656249996,15.747070312499984,95964,16.993931361607135,-5.620216836734697,35097.0,3509.7,0.2849246374333989,34719.0,3471.9,155.9,"[{'halfHeight': 10, 'risingPnt': np.int64(95870), 'fallingPnt': np.int64(96699), 'widthPnts': np.int64(829), 'widthMs': np.float64(82.9)}, {'halfHeight': 20, 'risingPnt': np.int64(95874), 'fallingPnt': np.int64(96614), 'widthPnts': np.int64(740), 'widthMs': np.float64(74.0)}, {'halfHeight': 50, 'risingPnt': np.int64(95886), 'fallingPnt': np.int64(96429), 'widthPnts': np.int64(543), 'widthMs': np.float64(54.3)}, {'halfHeight': 80, 'risingPnt': np.int64(95903), 'fallingPnt': np.int64(96149), 'widthPnts': np.int64(246), 'widthMs': np.float64(24.6)}, {'halfHeight': 90, 'risingPnt': np.int64(95912), 'fallingPnt': np.int64(95988), 'widthPnts': np.int64(76), 'widthMs': np.float64(7.6)}]",82.9,74.0,54.3,24.6,7.6,6.800000000000139,yes,2006-01-11,04:23:12,,,,,unknown,,,,
5,5,mv,0,1,0.0,5,0,"[{'Spike': 5, 'Seconds': np.float64(13.1278), 'Sweep': 0, 'Epoch': 1, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - Too low 3.856<=8'}]",20260908,16:37:51,,,20230324a,20230324a,20191009_0005.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",131278,13.127799999999999,-19.208635602678562,10.971380739795919,,131342,13.1342,20.16775948660713,39.376395089285694,6.4000000000010715,131419,13.1419,13.192313058035708,129105,-52.20633370535712,129322,130191,86.9,-51.217215401785694,-50.258091517857125,3.8564235076074236,,131280,-16.27022879464285,14.56871811224488,131413,13.471330915178564,-4.514110331632646,35411.0,3541.1,0.28239812487645083,34797.0,3479.7,217.3,"[{'halfHeight': 10, 'risingPnt': np.int64(131281), 'fallingPnt': np.int64(132022), 'widthPnts': np.int64(741), 'widthMs': np.float64(74.1)}, {'halfHeight': 20, 'risingPnt': np.int64(131285), 'fallingPnt': np.int64(131956), 'widthPnts': np.int64(671), 'widthMs': np.float64(67.1)}, {'halfHeight': 50, 'risingPnt': np.int64(131296), 'fallingPnt': np.int64(131779), 'widthPnts': np.int64(483), 'widthMs': np.float64(48.3)}, {'halfHeight': 80, 'risingPnt': np.int64(131311), 'fallingPnt': np.int64(131443), 'widthPnts': np.int64(132), 'widthMs': np.float64(13.2)}, {'halfHeight': 90, 'risingPnt': np.int64(131321), 'fallingPnt': np.int64(131388), 'widthPnts': np.int64(67), 'widthMs': np.float64(6.7)}]",74.1,67.1,48.3,13.2,6.7,6.4000000000010715,yes,2006-01-11,04:23:12,,,,,unknown,,,,
6,6,mv,0,1,0.0,6,0,[],20260908,16:37:51,,,20230324a,20230324a,20191009_0005.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",157298,15.7298,-19.444056919642847,8.873764349489782,,157368,15.736799999999999,17.49093191964285,36.934988839285694,6.999999999999673,157442,15.744200000000001,12.56452287946428,155792,-52.359095982142826,155943,156545,60.2,-50.86844308035712,-48.37472098214283,44.70073540399889,,157305,-11.439732142857137,14.593630420918347,157463,12.704031808035708,-4.633689413265304,26020.0,2602.0,0.38431975403535745,26687.0,2668.7,150.6,"[{'halfHeight': 10, 'risingPnt': np.int64(157302), 'fallingPnt': np.int64(158081), 'widthPnts': np.int64(779), 'widthMs': np.float64(77.9)}, {'halfHeight': 20, 'risingPnt': np.int64(157305), 'fallingPnt': np.int64(158033), 'widthPnts': np.int64(728), 'widthMs': np.float64(72.8)}, {'halfHeight': 50, 'risingPnt': np.int64(157317), 'fallingPnt': np.int64(157839), 'widthPnts': np.int64(522), 'widthMs': np.float64(52.2)}, {'halfHeight': 80, 'risingPnt': np.int64(157333), 'fallingPnt': np.int64(157595), 'widthPnts': np.int64(262), 'widthMs': np.float64(26.2)}, {'halfHeight': 90, 'risingPnt': np.int64(157341), 'fallingPnt': np.int64(157423), 'widthPnts': np.int64(82), 'widthMs': np.float64(8.2)}]",77.9,72.8,52.2,26.2,8.2,6.999999999999673,yes,2006-01-11,04:23:12,,,,,unknown,,,,
7,7,mv,0,1,0.0,7,0,"[{'Spike': 7, 'Seconds': np.float64(16.3407), 'Sweep': 0, 'Epoch': 1, 'Type': 'Fast AHP was detected at end of fast AHP window', 'Details': 'Consider increasing the fast AHP window with fastAhpWindow_ms'}]",20260908,16:37:51,,,20230324a,20230324a,20191009_0005.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",163407,16.340700000000002,-19.478934151785705,11.937978316326516,,163492,16.3492,14.665876116071422,34.144810267857125,8.499999999997954,163571,16.3571,12.093680245535708,161316,-53.17400251116069,161525,162362,83.7,-51.6531808035714,-48.82812499999998,30.792304408135745,,163408,-18.110002790178562,12.41131218112243,163509,13.46261160714285,-5.047233737244884,6109.0,610.9,1.636929120969062,5524.0,552.4,209.1,"[{'halfHeight': 10, 'risingPnt': np.int64(163411), 'fallingPnt': np.int64(164239), 'widthPnts': np.int64(828), 'widthMs': np.float64(82.8)}, {'halfHeight': 20, 'risingPnt': np.int64(163414), 'fallingPnt': np.int64(164187), 'widthPnts': np.int64(773), 'widthMs': np.float64(77.3)}, {'halfHeight': 50, 'risingPnt': np.int64(163425), 'fallingPnt': np.int64(164010), 'widthPnts': np.int64(585), 'widthMs': np.float64(58.5)}, {'halfHeight': 80, 'risingPnt': np.int64(163443), 'fallingPnt': np.int64(163805), 'widthPnts': np.int64(362), 'widthMs': np.float64(36.2)}, {'halfHeight': 90, 'risingPnt': np.int64(163453), 'fallingPnt': np.int64(163592), 'widthPnts': np.int64(139), 'widthMs': np.float64(13.9)}]",82.8,77.3,58.5,36.2,13.9,8.499999999997954,yes,2006-01-11,04:23:12,,,,,unknown,,,,
8,8,mv,0,1,0.0,8,0,"[{'Spike': 8, 'Seconds': np.float64(19.9789), 'Sweep': 0, 'Epoch': 1, 'Type': 'Fast AHP was detected at end of fast AHP window', 'Details': 'Consider increasing the fast AHP window with fastAhpWindow_ms'}]",20260908,16:37:51,,,20230324a,20230324a,20191009_0005.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",199789,19.978900000000003,-19.539969308035705,10.632573341836729,,199865,19.9865,16.383579799107135,35.92354910714284,7.5999999999964984,199944,19.994400000000002,12.346540178571422,197657,-50.721609933035694,197870,198723,85.3,-49.30768694196426,-46.64829799107141,22.265694121663845,,199794,-14.264787946428564,12.710259885204065,199880,15.11056082589285,-4.810566804846924,36382.0,3638.2,0.2748611950964763,36341.0,3634.1,213.2,"[{'halfHeight': 10, 'risingPnt': np.int64(199793), 'fallingPnt': np.int64(200587), 'widthPnts': np.int64(794), 'widthMs': np.float64(79.4)}, {'halfHeight': 20, 'risingPnt': np.int64(199797), 'fallingPnt': np.int64(200523), 'widthPnts': np.int64(726), 'widthMs': np.float64(72.6)}, {'halfHeight': 50, 'risingPnt': np.int64(199809), 'fallingPnt': np.int64(200364), 'widthPnts': np.int64(555), 'widthMs': np.float64(55.5)}, {'halfHeight': 80, 'risingPnt': np.int64(199828), 'fallingPnt': np.int64(200112), 'widthPnts': np.int64(284), 'widthMs': np.float64(28.4)}, {'halfHeight': 90, 'risingPnt': np.int64(199836), 'fallingPnt': np.int64(199940), 'widthPnts': np.int64(104), 'widthMs': np.float64(10.4)}]",79.4,72.6,55.5,28.4,10.4,7.5999999999964984,yes,2006-01-11,04:23:12,,,,,unknown,,,,
9,9,mv,0,1,0.0,9,0,[],20260908,16:37:51,,,20230324a,20230324a,20191009_0005.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",210026,21.002599999999997,-19.73179408482142,9.309729751275498,,210099,21.009900000000002,15.31110491071428,35.0428989955357,7.300000000004303,210161,21.016099999999998,11.858258928571423,208658,-50.78857421874999,208795,209342,54.7,-49.92675781249998,-47.860281808035694,38.94907396379253,,210028,-17.325265066964278,12.388891103316329,210160,12.154715401785708,-4.3471978635204,10237.0,1023.7,0.976848686138517,11001.0,1100.1,136.8,"[{'halfHeight': 10, 'risingPnt': np.int64(210029), 'fallingPnt': np.int64(210814), 'widthPnts': np.int64(785), 'widthMs': np.float64(78.5)}, {'halfHeight': 20, 'risingPnt': np.int64(210033), 'fallingPnt': np.int64(210765), 'widthPnts': np.int64(732), 'widthMs': np.float64(73.2)}, {'halfHeight': 50, 'risingPnt': np.int64(210045), 'fallingPnt': np.int64(210607), 'widthPnts': np.int64(562), 'widthMs': np.float64(56.2)}, {'halfHeight': 80, 'risingPnt': np.int64(210063), 'fallingPnt': np.int64(210392), 'widthPnts': np.int64(329), 'widthMs': np.float64(32.9)}, {'halfHeight': 90, 'risingPnt': np.int64(210074), 'fallingPnt': np.int64(210229), 'widthPnts': np.int64(155), 'widthMs': np.float64(15.5)}]",78.5,73.2,56.2,32.9,15.5,7.300000000004303,yes,2006-01-11,04:23:12,,,,,unknown,,,,
