Include=yes;Acq Date=2021-07-20;Acq Time=17:26:31;Species=;Cell Type=;ID=;Age=;Sex=unknown;Genotype=;Condition1=;Condition2=;Note=;
,spikeNumber,detectionType,sweep,epoch,epochLevel,sweepSpikeNumber,userType,errors,analysisDate,analysisTime,modDate,modTime,analysisVersion,interfaceVersion,file,condition,dvdtThreshold,mvThreshold,medianFilter,halfHeights,thresholdPnt,thresholdSec,thresholdVal,thresholdVal_dvdt,dacCommand,peakPnt,peakSec,peakVal,peakHeight,timeToPeak_ms,fastAhpPnt,fastAhpSec,fastAhpValue,preMinPnt,preMinVal,preLinearFitPnt0,preLinearFitPnt1,earlyDiastolicDuration_ms,preLinearFitVal0,preLinearFitVal1,earlyDiastolicDurationRate,lateDiastolicDuration,preSpike_dvdt_max_pnt,preSpike_dvdt_max_val,preSpike_dvdt_max_val2,postSpike_dvdt_min_pnt,postSpike_dvdt_min_val,postSpike_dvdt_min_val2,isi_pnts,isi_ms,spikeFreq_hz,cycleLength_pnts,cycleLength_ms,diastolicDuration_ms,widths,widths_10,widths_20,widths_50,widths_80,widths_90,user_timeToPeak_ms,Include,Acq Date,Acq Time,Species,Cell Type,ID,Age,Sex,Genotype,Condition1,Condition2,Note
0,0,dvdt,9,2,3.725290298461914e-08,0,0,"[{'Spike': 0, 'Seconds': np.float64(0.0298), 'Sweep': 9, 'Epoch': 2, 'Type': 'Pre spike min under-run (mdp)', 'Details': 'Went past startPnt 0 searching for pre-spike min'}]",20260908,16:38:15,,,20230324a,20230324a,2021_07_20_0010.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",298,0.0298,-45.51042447771343,13.295451031898972,,303,0.0303,-7.732281807490755,37.77814267022267,0.5000000000000004,310.0,0.031,-77.118784223284,276.0,-67.22568293980186,278,287,0.9,-61.38392508370533,-55.58907263619557,6157.139587402382,,301,-22.263879108428945,138.603103139449,305,-40.965921824319004,-185.95467429647618,,,,,,2.2,"[{'halfHeight': 10, 'risingPnt': np.int64(298), 'fallingPnt': np.int64(306), 'widthPnts': np.int64(8), 'widthMs': np.float64(0.8)}, {'halfHeight': 20, 'risingPnt': np.int64(300), 'fallingPnt': np.int64(305), 'widthPnts': np.int64(5), 'widthMs': np.float64(0.5)}, {'halfHeight': 50, 'risingPnt': np.int64(300), 'fallingPnt': np.int64(305), 'widthPnts': np.int64(5), 'widthMs': np.float64(0.5)}, {'halfHeight': 80, 'risingPnt': np.int64(302), 'fallingPnt': np.int64(304), 'widthPnts': np.int64(2), 'widthMs': np.float64(0.2)}, {'halfHeight': 90, 'risingPnt': np.int64(302), 'fallingPnt': np.int64(304), 'widthPnts': np.int64(2), 'widthMs': np.float64(0.2)}]",0.8,0.5,0.5,0.2,0.2,0.5000000000000004,yes,2021-07-20,17:26:31,,,,,unknown,,,,
1,1,dvdt,10,2,0.1000000387430191,0,0,"[{'Spike': 0, 'Seconds': np.float64(0.0275), 'Sweep': 10, 'Epoch': 2, 'Type': 'Pre spike min under-run (mdp)', 'Details': 'Went past startPnt 0 searching for pre-spike min'}, {'Spike': 0, 'Seconds': np.float64(0.0275), 'Sweep': 10, 'Epoch': 2, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - Too low 2.013<=8'}]",20260908,16:38:15,,,20230324a,20230324a,2021_07_20_0010.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",275,0.0275,-67.04711118425638,2.291681966976235,,294,0.0294,-37.04223288127352,30.00487830298286,1.899999999999999,303.0,0.0303,-76.09862518310543,111.0,-67.99423762730186,127,193,6.6,-67.61386653355187,-67.42640141078401,2.0130580706614447,,294,-37.04223288127352,74.09742143981306,299,-39.15404961449757,-193.0354997907364,,,,,,16.4,"[{'halfHeight': 10, 'risingPnt': np.int64(276), 'fallingPnt': np.int64(301), 'widthPnts': np.int64(25), 'widthMs': np.float64(2.5)}, {'halfHeight': 20, 'risingPnt': np.int64(276), 'fallingPnt': np.int64(301), 'widthPnts': np.int64(25), 'widthMs': np.float64(2.5)}, {'halfHeight': 50, 'risingPnt': np.int64(281), 'fallingPnt': np.int64(300), 'widthPnts': np.int64(19), 'widthMs': np.float64(1.9)}, {'halfHeight': 80, 'risingPnt': np.int64(281), 'fallingPnt': np.int64(300), 'widthPnts': np.int64(19), 'widthMs': np.float64(1.9)}, {'halfHeight': 90, 'risingPnt': np.int64(281), 'fallingPnt': np.int64(300), 'widthPnts': np.int64(19), 'widthMs': np.float64(1.9)}]",2.5,2.5,1.9,1.9,1.9,1.899999999999999,yes,2021-07-20,17:26:31,,,,,unknown,,,,
2,2,dvdt,11,2,0.20000004023313522,0,0,"[{'Spike': 0, 'Seconds': np.float64(0.0275), 'Sweep': 11, 'Epoch': 2, 'Type': 'Pre spike min under-run (mdp)', 'Details': 'Went past startPnt 0 searching for pre-spike min'}]",20260908,16:38:15,,,20230324a,20230324a,2021_07_20_0010.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",275,0.0275,-67.87021386282781,3.1013319988640458,,294,0.0294,-21.41025891304015,46.45995494978766,1.899999999999999,302.0,0.030199999999999998,-74.19868796212329,215.0,-68.29050227573936,221,245,2.4,-68.18410927908758,-67.61909811837329,125.41776858501777,,294,-21.41025891304015,144.59301784281814,298,-37.98043073245456,-196.09448137867187,,,,,,6.0,"[{'halfHeight': 10, 'risingPnt': np.int64(277), 'fallingPnt': np.int64(300), 'widthPnts': np.int64(23), 'widthMs': np.float64(2.3)}, {'halfHeight': 20, 'risingPnt': np.int64(277), 'fallingPnt': np.int64(300), 'widthPnts': np.int64(23), 'widthMs': np.float64(2.3)}, {'halfHeight': 50, 'risingPnt': np.int64(281), 'fallingPnt': np.int64(299), 'widthPnts': np.int64(18), 'widthMs': np.float64(1.8)}, {'halfHeight': 80, 'risingPnt': np.int64(293), 'fallingPnt': np.int64(298), 'widthPnts': np.int64(5), 'widthMs': np.float64(0.5)}, {'halfHeight': 90, 'risingPnt': np.int64(293), 'fallingPnt': np.int64(298), 'widthPnts': np.int64(5), 'widthMs': np.float64(0.5)}]",2.3,2.3,1.8,0.5,0.5,1.899999999999999,yes,2021-07-20,17:26:31,,,,,unknown,,,,
3,3,dvdt,11,2,0.20000004023313522,1,0,"[{'Spike': 1, 'Seconds': np.float64(0.0338), 'Sweep': 11, 'Epoch': 2, 'Type': 'Pre spike min under-run (mdp)', 'Details': 'Went past startPnt 0 searching for pre-spike min'}, {'Spike': 1, 'Seconds': np.float64(0.0338), 'Sweep': 11, 'Epoch': 2, 'Type': 'Spike Width', 'Details': 'Half width 90 error in ""rising point"" with halfWidthWindow_ms:4.0 searching for Vm:-7.66 from peak sec 0.03'}]",20260908,16:38:15,,,20230324a,20230324a,2021_07_20_0010.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",338,0.0338,-42.87893731253486,13.803413040783921,,343,0.0343,-3.7484301396778643,39.130507172856994,0.5000000000000004,350.0,0.035,-73.50899069649829,326.0,-53.156751501083356,327,332,0.5,-52.25393731253485,-48.97896521432057,6320.626395089413,,342,-13.242884295327316,140.35120144084996,346,-43.781386429922904,-177.60232586957954,63.0,6.3,158.73015873015873,111.0,11.1,1.2,"[{'halfHeight': 10, 'risingPnt': np.int64(338), 'fallingPnt': np.int64(346), 'widthPnts': np.int64(8), 'widthMs': np.float64(0.8)}, {'halfHeight': 20, 'risingPnt': np.int64(338), 'fallingPnt': np.int64(346), 'widthPnts': np.int64(8), 'widthMs': np.float64(0.8)}, {'halfHeight': 50, 'risingPnt': np.int64(342), 'fallingPnt': np.int64(345), 'widthPnts': np.int64(3), 'widthMs': np.float64(0.3)}, {'halfHeight': 80, 'risingPnt': np.int64(342), 'fallingPnt': np.int64(345), 'widthPnts': np.int64(3), 'widthMs': np.float64(0.3)}, {'halfHeight': 90, 'risingPnt': None, 'fallingPnt': None, 'widthPnts': None, 'widthMs': nan}]",0.8,0.8,0.3,0.3,,0.5000000000000004,yes,2021-07-20,17:26:31,,,,,unknown,,,,
4,4,dvdt,11,2,0.20000004023313522,2,0,"[{'Spike': 2, 'Seconds': np.float64(0.0393), 'Sweep': 11, 'Epoch': 2, 'Type': 'Pre spike min under-run (mdp)', 'Details': 'Went past startPnt 0 searching for pre-spike min'}]",20260908,16:38:15,,,20230324a,20230324a,2021_07_20_0010.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",393,0.039299999999999995,-42.770817892892005,11.851283342011115,,399,0.0399,-6.0538150106157556,36.71700288227625,0.6000000000000033,407.0,0.0407,-72.30049460274829,377.0,-53.156751501083356,379,385,0.6,-51.97404752458842,-48.98506872994557,4716.896524234381,,398,-15.331158447265619,121.93951145094253,402,-40.23698771340504,-166.84768254805567,55.0,5.5,181.81818181818184,51.0,5.1,1.6,"[{'halfHeight': 10, 'risingPnt': np.int64(395), 'fallingPnt': np.int64(402), 'widthPnts': np.int64(7), 'widthMs': np.float64(0.7)}, {'halfHeight': 20, 'risingPnt': np.int64(395), 'fallingPnt': np.int64(402), 'widthPnts': np.int64(7), 'widthMs': np.float64(0.7)}, {'halfHeight': 50, 'risingPnt': np.int64(395), 'fallingPnt': np.int64(402), 'widthPnts': np.int64(7), 'widthMs': np.float64(0.7)}, {'halfHeight': 80, 'risingPnt': np.int64(398), 'fallingPnt': np.int64(401), 'widthPnts': np.int64(3), 'widthMs': np.float64(0.3)}, {'halfHeight': 90, 'risingPnt': np.int64(398), 'fallingPnt': np.int64(401), 'widthPnts': np.int64(3), 'widthMs': np.float64(0.3)}]",0.7,0.7,0.7,0.3,0.3,0.6000000000000033,yes,2021-07-20,17:26:31,,,,,unknown,,,,
5,5,dvdt,11,2,0.20000004023313522,3,0,"[{'Spike': 3, 'Seconds': np.float64(0.045), 'Sweep': 11, 'Epoch': 2, 'Type': 'Pre spike min under-run (mdp)', 'Details': 'Went past startPnt 0 searching for pre-spike min'}]",20260908,16:38:15,,,20230324a,20230324a,2021_07_20_0010.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",450,0.045,-43.04809188842771,11.000777264030614,,457,0.045700000000000005,-6.149727399008612,36.8983644894191,0.7000000000000062,464.0,0.0464,-71.71978868756972,434.0,-53.156751501083356,436,442,0.6,-51.87987899780271,-49.21525846208843,4120.7449776786425,,456,-11.055209786551336,112.66839577811095,460,-44.90094558170861,-157.77810745239242,57.0,5.7,175.43859649122805,57.0,5.7,1.6,"[{'halfHeight': 10, 'risingPnt': np.int64(450), 'fallingPnt': np.int64(460), 'widthPnts': np.int64(10), 'widthMs': np.float64(1.0)}, {'halfHeight': 20, 'risingPnt': np.int64(450), 'fallingPnt': np.int64(460), 'widthPnts': np.int64(10), 'widthMs': np.float64(1.0)}, {'halfHeight': 50, 'risingPnt': np.int64(455), 'fallingPnt': np.int64(459), 'widthPnts': np.int64(4), 'widthMs': np.float64(0.4)}, {'halfHeight': 80, 'risingPnt': np.int64(456), 'fallingPnt': np.int64(458), 'widthPnts': np.int64(2), 'widthMs': np.float64(0.2)}, {'halfHeight': 90, 'risingPnt': np.int64(456), 'fallingPnt': np.int64(458), 'widthPnts': np.int64(2), 'widthMs': np.float64(0.2)}]",1.0,1.0,0.4,0.2,0.2,0.7000000000000062,yes,2021-07-20,17:26:31,,,,,unknown,,,,
6,6,dvdt,12,2,0.30000004172325134,0,0,"[{'Spike': 0, 'Seconds': np.float64(0.0275), 'Sweep': 12, 'Epoch': 2, 'Type': 'Pre spike min under-run (mdp)', 'Details': 'Went past startPnt 0 searching for pre-spike min'}]",20260908,16:38:15,,,20230324a,20230324a,2021_07_20_0010.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",275,0.0275,-68.09691587175638,2.766759693379301,,292,0.0292,-0.6661550045013435,67.43076086725503,1.7000000000000002,299.0,0.0299,-73.23433249337329,228.0,-68.31125422886436,233,252,1.9,-68.17800576346258,-67.48918042864115,454.0770872493664,,291,-15.958947692598606,166.97373656448036,295,-40.563961703436696,-202.1693474049469,,,,,,4.7,"[{'halfHeight': 10, 'risingPnt': np.int64(276), 'fallingPnt': np.int64(297), 'widthPnts': np.int64(21), 'widthMs': np.float64(2.1)}, {'halfHeight': 20, 'risingPnt': np.int64(279), 'fallingPnt': np.int64(296), 'widthPnts': np.int64(17), 'widthMs': np.float64(1.7)}, {'halfHeight': 50, 'risingPnt': np.int64(290), 'fallingPnt': np.int64(295), 'widthPnts': np.int64(5), 'widthMs': np.float64(0.5)}, {'halfHeight': 80, 'risingPnt': np.int64(291), 'fallingPnt': np.int64(294), 'widthPnts': np.int64(3), 'widthMs': np.float64(0.3)}, {'halfHeight': 90, 'risingPnt': np.int64(291), 'fallingPnt': np.int64(294), 'widthPnts': np.int64(3), 'widthMs': np.float64(0.3)}]",2.1,1.7,0.5,0.3,0.3,1.7000000000000002,yes,2021-07-20,17:26:31,,,,,unknown,,,,
7,7,dvdt,12,2,0.30000004172325134,1,0,"[{'Spike': 1, 'Seconds': np.float64(0.0326), 'Sweep': 12, 'Epoch': 2, 'Type': 'Pre spike min under-run (mdp)', 'Details': 'Went past startPnt 0 searching for pre-spike min'}]",20260908,16:38:15,,,20230324a,20230324a,2021_07_20_0010.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",326,0.032600000000000004,-42.912070683070574,14.24261700766423,,331,0.033100000000000004,-0.6565637605530882,42.25550692251748,0.5000000000000004,338.0,0.0338,-72.65275464739115,317.0,-52.13127355303081,318,321,0.3,-51.22157124110628,-48.996403830392,6988.525390625219,,330,-6.577845525741575,151.54330379816935,333,-31.217736320836188,-185.89339429602316,51.0,5.1,196.07843137254903,89.0,8.9,0.9,"[{'halfHeight': 10, 'risingPnt': np.int64(326), 'fallingPnt': np.int64(334), 'widthPnts': np.int64(8), 'widthMs': np.float64(0.8)}, {'halfHeight': 20, 'risingPnt': np.int64(326), 'fallingPnt': np.int64(334), 'widthPnts': np.int64(8), 'widthMs': np.float64(0.8)}, {'halfHeight': 50, 'risingPnt': np.int64(329), 'fallingPnt': np.int64(333), 'widthPnts': np.int64(4), 'widthMs': np.float64(0.4)}, {'halfHeight': 80, 'risingPnt': np.int64(330), 'fallingPnt': np.int64(332), 'widthPnts': np.int64(2), 'widthMs': np.float64(0.2)}, {'halfHeight': 90, 'risingPnt': np.int64(330), 'fallingPnt': np.int64(332), 'widthPnts': np.int64(2), 'widthMs': np.float64(0.2)}]",0.8,0.8,0.4,0.2,0.2,0.5000000000000004,yes,2021-07-20,17:26:31,,,,,unknown,,,,
8,8,dvdt,12,2,0.30000004172325134,2,0,"[{'Spike': 2, 'Seconds': np.float64(0.0374), 'Sweep': 12, 'Epoch': 2, 'Type': 'Pre spike min under-run (mdp)', 'Details': 'Went past startPnt 0 searching for pre-spike min'}]",20260908,16:38:15,,,20230324a,20230324a,2021_07_20_0010.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",374,0.037399999999999996,-43.81887871878486,11.418307557397934,,381,0.0381,-2.729143357276916,41.08973536150794,0.7000000000000062,388.0,0.038799999999999994,-72.09384700230186,362.0,-52.13127355303081,363,368,0.5,-51.37764685494557,-48.71128245762414,5151.367187499825,,380,-5.841063935416083,128.74679666830556,383,-32.429719226700904,-175.625035303466,48.0,4.8,208.33333333333334,45.0,4.5,1.2,"[{'halfHeight': 10, 'risingPnt': np.int64(374), 'fallingPnt': np.int64(384), 'widthPnts': np.int64(10), 'widthMs': np.float64(1.0)}, {'halfHeight': 20, 'risingPnt': np.int64(374), 'fallingPnt': np.int64(384), 'widthPnts': np.int64(10), 'widthMs': np.float64(1.0)}, {'halfHeight': 50, 'risingPnt': np.int64(379), 'fallingPnt': np.int64(383), 'widthPnts': np.int64(4), 'widthMs': np.float64(0.4)}, {'halfHeight': 80, 'risingPnt': np.int64(380), 'fallingPnt': np.int64(382), 'widthPnts': np.int64(2), 'widthMs': np.float64(0.2)}, {'halfHeight': 90, 'risingPnt': np.int64(380), 'fallingPnt': np.int64(382), 'widthPnts': np.int64(2), 'widthMs': np.float64(0.2)}]",1.0,1.0,0.4,0.2,0.2,0.7000000000000062,yes,2021-07-20,17:26:31,,,,,unknown,,,,
9,9,dvdt,12,2,0.30000004172325134,3,0,"[{'Spike': 3, 'Seconds': np.float64(0.0426), 'Sweep': 12, 'Epoch': 2, 'Type': 'Pre spike min under-run (mdp)', 'Details': 'Went past startPnt 0 searching for pre-spike min'}, {'Spike': 3, 'Seconds': np.float64(0.0426), 'Sweep': 12, 'Epoch': 2, 'Type': 'Spike Width', 'Details': 'Half width 90 error in ""rising point"" with halfWidthWindow_ms:4.0 searching for Vm:-6.71 from peak sec 0.04'}]",20260908,16:38:15,,,20230324a,20230324a,2021_07_20_0010.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",426,0.0426,-42.106406620570574,12.690080775046805,,432,0.0432,-2.780586947713579,39.325819672856994,0.6000000000000033,439.0,0.0439,-71.48611123221258,412.0,-52.13127355303081,413,419,0.6,-51.32358714512414,-48.06343787057057,5304.577885841824,,431,-11.458041940416605,132.71333672465096,435,-41.308590670994334,-172.2623725054214,52.0,5.2,192.30769230769232,50.0,5.0,1.4,"[{'halfHeight': 10, 'risingPnt': np.int64(427), 'fallingPnt': np.int64(435), 'widthPnts': np.int64(8), 'widthMs': np.float64(0.8)}, {'halfHeight': 20, 'risingPnt': np.int64(427), 'fallingPnt': np.int64(435), 'widthPnts': np.int64(8), 'widthMs': np.float64(0.8)}, {'halfHeight': 50, 'risingPnt': np.int64(431), 'fallingPnt': np.int64(434), 'widthPnts': np.int64(3), 'widthMs': np.float64(0.3)}, {'halfHeight': 80, 'risingPnt': np.int64(431), 'fallingPnt': np.int64(434), 'widthPnts': np.int64(3), 'widthMs': np.float64(0.3)}, {'halfHeight': 90, 'risingPnt': None, 'fallingPnt': None, 'widthPnts': None, 'widthMs': nan}]",0.8,0.8,0.3,0.3,,0.6000000000000033,yes,2021-07-20,17:26:31,,,,,unknown,,,,
