Include=yes;Acq Date=;Acq Time=;Species=;Cell Type=;ID=;Age=;Sex=unknown;Genotype=;Condition1=;Condition2=;Note=;
,spikeNumber,detectionType,sweep,epoch,epochLevel,sweepSpikeNumber,userType,errors,analysisDate,analysisTime,modDate,modTime,analysisVersion,interfaceVersion,file,condition,dvdtThreshold,mvThreshold,medianFilter,halfHeights,thresholdPnt,thresholdSec,thresholdVal,thresholdVal_dvdt,dacCommand,peakPnt,peakSec,peakVal,peakHeight,timeToPeak_ms,fastAhpPnt,fastAhpSec,fastAhpValue,preMinPnt,preMinVal,preLinearFitPnt0,preLinearFitPnt1,earlyDiastolicDuration_ms,preLinearFitVal0,preLinearFitVal1,earlyDiastolicDurationRate,lateDiastolicDuration,preSpike_dvdt_max_pnt,preSpike_dvdt_max_val,preSpike_dvdt_max_val2,postSpike_dvdt_min_pnt,postSpike_dvdt_min_val,postSpike_dvdt_min_val2,isi_pnts,isi_ms,spikeFreq_hz,cycleLength_pnts,cycleLength_ms,diastolicDuration_ms,widths,widths_10,widths_20,widths_50,widths_80,widths_90,user_timeToPeak_ms,Include,Acq Date,Acq Time,Species,Cell Type,ID,Age,Sex,Genotype,Condition1,Condition2,Note
0,0,dvdt,0,1,0.0,0,0,"[{'Spike': 0, 'Seconds': np.float64(0.2039), 'Sweep': 0, 'Epoch': 1, 'Type': 'Pre spike min under-run (mdp)', 'Details': 'Went past startPnt 0 searching for pre-spike min'}, {'Spike': 0, 'Seconds': np.float64(0.2039), 'Sweep': 0, 'Epoch': 1, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - Too low -2.852<=8'}]",20260908,16:38:07,,,20230324a,20230324a,stochastic-hh.sanpy,,20.0,-40.0,0,"[10, 20, 50, 80, 90]",20388,0.20388,-45.2736106165336,18.645773739501603,,20465,0.20465,50.00052565281648,95.27413626935008,0.7699999999999929,20769,0.20768999999999999,-70.95925273293304,9001.0,-60.811020148514245,10140,14695,45.55,-58.97365417092216,-60.584992285011474,-2.8519448335673587,,20446,17.414517034029792,331.19712193952546,20542,17.04494945587599,-71.61410364905635,,,,,,113.87,"[{'halfHeight': 10, 'risingPnt': np.int64(20416), 'fallingPnt': np.int64(20659), 'widthPnts': np.int64(243), 'widthMs': np.float64(2.43)}, {'halfHeight': 20, 'risingPnt': np.int64(20427), 'fallingPnt': np.int64(20638), 'widthPnts': np.int64(211), 'widthMs': np.float64(2.11)}, {'halfHeight': 50, 'risingPnt': np.int64(20442), 'fallingPnt': np.int64(20570), 'widthPnts': np.int64(128), 'widthMs': np.float64(1.28)}, {'halfHeight': 80, 'risingPnt': np.int64(20451), 'fallingPnt': np.int64(20516), 'widthPnts': np.int64(65), 'widthMs': np.float64(0.65)}, {'halfHeight': 90, 'risingPnt': np.int64(20454), 'fallingPnt': np.int64(20498), 'widthPnts': np.int64(44), 'widthMs': np.float64(0.44)}]",2.43,2.11,1.28,0.65,0.44,0.7699999999999929,yes,,,,,,,unknown,,,,
1,1,dvdt,0,3,0.0,1,0,[],20260908,16:38:07,,,20230324a,20230324a,stochastic-hh.sanpy,,20.0,-40.0,0,"[10, 20, 50, 80, 90]",75421,0.75421,-46.004914334051016,19.694685888639135,,75496,0.7549600000000001,52.36242118086549,98.3673355149165,0.7500000000000284,75795,0.75795,-71.19359372342528,74796.0,-62.95535969582434,74858,75108,2.5,-62.711335145247006,-59.84579260477705,1110.373186710318,,75477,22.327925532591895,395.9771410389848,75551,32.95474709377918,-60.898097741935295,55033.0,550.33,1.817091563243872,65795.0,657.95,6.25,"[{'halfHeight': 10, 'risingPnt': np.int64(75447), 'fallingPnt': np.int64(75696), 'widthPnts': np.int64(249), 'widthMs': np.float64(2.49)}, {'halfHeight': 20, 'risingPnt': np.int64(75459), 'fallingPnt': np.int64(75676), 'widthPnts': np.int64(217), 'widthMs': np.float64(2.17)}, {'halfHeight': 50, 'risingPnt': np.int64(75472), 'fallingPnt': np.int64(75613), 'widthPnts': np.int64(141), 'widthMs': np.float64(1.41)}, {'halfHeight': 80, 'risingPnt': np.int64(75480), 'fallingPnt': np.int64(75552), 'widthPnts': np.int64(72), 'widthMs': np.float64(0.72)}, {'halfHeight': 90, 'risingPnt': np.int64(75483), 'fallingPnt': np.int64(75531), 'widthPnts': np.int64(48), 'widthMs': np.float64(0.48)}]",2.49,2.17,1.41,0.72,0.48,0.7500000000000284,yes,,,,,,,unknown,,,,
2,2,dvdt,0,3,0.0,2,0,[],20260908,16:38:07,,,20230324a,20230324a,stochastic-hh.sanpy,,20.0,-40.0,0,"[10, 20, 50, 80, 90]",77828,0.77828,-44.36268852692028,19.959223599329,,77907,0.77907,45.94013895572241,90.3028274826427,0.7900000000000684,78198,0.78198,-70.96757014921015,77806.0,-47.58388296738387,77808,77817,0.09,-47.37728353187926,-46.28507343103821,11908.01940802115,,77886,13.227985191057796,296.8324501273142,78017,-4.813619558001196,-69.44737475446868,2407.0,24.07,41.54549231408392,3010.0,30.1,0.22,"[{'halfHeight': 10, 'risingPnt': np.int64(77854), 'fallingPnt': np.int64(78085), 'widthPnts': np.int64(231), 'widthMs': np.float64(2.31)}, {'halfHeight': 20, 'risingPnt': np.int64(77867), 'fallingPnt': np.int64(78066), 'widthPnts': np.int64(199), 'widthMs': np.float64(1.99)}, {'halfHeight': 50, 'risingPnt': np.int64(77882), 'fallingPnt': np.int64(78008), 'widthPnts': np.int64(126), 'widthMs': np.float64(1.26)}, {'halfHeight': 80, 'risingPnt': np.int64(77892), 'fallingPnt': np.int64(77956), 'widthPnts': np.int64(64), 'widthMs': np.float64(0.64)}, {'halfHeight': 90, 'risingPnt': np.int64(77895), 'fallingPnt': np.int64(77935), 'widthPnts': np.int64(40), 'widthMs': np.float64(0.4)}]",2.31,1.99,1.26,0.64,0.4,0.7900000000000684,yes,,,,,,,unknown,,,,
3,3,dvdt,0,3,0.0,3,0,[],20260908,16:38:07,,,20230324a,20230324a,stochastic-hh.sanpy,,20.0,-40.0,0,"[10, 20, 50, 80, 90]",80012,0.80012,-46.53726540671358,18.96095030730094,,80094,0.8009400000000001,49.023515088306766,95.56078049502034,0.8200000000000429,80382,0.8038200000000001,-71.103245770788,80006.0,-47.58388296738387,80007,80009,0.02,-47.38331725466602,-47.071661011365585,15389.357538072338,,80076,20.996719701629555,338.17364770494214,80166,15.773181596832258,-67.06877153586716,2184.0,21.84,45.78754578754579,2200.0,22.0,0.06,"[{'halfHeight': 10, 'risingPnt': np.int64(80043), 'fallingPnt': np.int64(80278), 'widthPnts': np.int64(235), 'widthMs': np.float64(2.35)}, {'halfHeight': 20, 'risingPnt': np.int64(80055), 'fallingPnt': np.int64(80259), 'widthPnts': np.int64(204), 'widthMs': np.float64(2.04)}, {'halfHeight': 50, 'risingPnt': np.int64(80070), 'fallingPnt': np.int64(80193), 'widthPnts': np.int64(123), 'widthMs': np.float64(1.23)}, {'halfHeight': 80, 'risingPnt': np.int64(80079), 'fallingPnt': np.int64(80142), 'widthPnts': np.int64(63), 'widthMs': np.float64(0.63)}, {'halfHeight': 90, 'risingPnt': np.int64(80083), 'fallingPnt': np.int64(80123), 'widthPnts': np.int64(40), 'widthMs': np.float64(0.4)}]",2.35,2.04,1.23,0.63,0.4,0.8200000000000429,yes,,,,,,,unknown,,,,
4,4,dvdt,1,1,0.0,0,0,"[{'Spike': 0, 'Seconds': np.float64(0.0757), 'Sweep': 1, 'Epoch': 1, 'Type': 'Pre spike min under-run (mdp)', 'Details': 'Went past startPnt 0 searching for pre-spike min'}]",20260908,16:38:07,,,20230324a,20230324a,stochastic-hh.sanpy,,20.0,-40.0,0,"[10, 20, 50, 80, 90]",7573,0.07573,-44.09445438959729,19.79466770303214,,7651,0.07651000000000001,46.9133337990269,91.00778818862419,0.7800000000000029,7931,0.07931,-71.03990666180054,6363.0,-61.451991254064225,6484,6968,4.84,-61.15131403416837,-57.92945375695482,650.1926043937552,,7631,16.13689420739501,297.46282120676665,7692,28.68439216813079,-71.90327278683664,,,,,,12.1,"[{'halfHeight': 10, 'risingPnt': np.int64(7600), 'fallingPnt': np.int64(7824), 'widthPnts': np.int64(224), 'widthMs': np.float64(2.24)}, {'halfHeight': 20, 'risingPnt': np.int64(7611), 'fallingPnt': np.int64(7806), 'widthPnts': np.int64(195), 'widthMs': np.float64(1.95)}, {'halfHeight': 50, 'risingPnt': np.int64(7626), 'fallingPnt': np.int64(7747), 'widthPnts': np.int64(121), 'widthMs': np.float64(1.21)}, {'halfHeight': 80, 'risingPnt': np.int64(7636), 'fallingPnt': np.int64(7692), 'widthPnts': np.int64(56), 'widthMs': np.float64(0.56)}, {'halfHeight': 90, 'risingPnt': np.int64(7640), 'fallingPnt': np.int64(7677), 'widthPnts': np.int64(37), 'widthMs': np.float64(0.37)}]",2.24,1.95,1.21,0.56,0.37,0.7800000000000029,yes,,,,,,,unknown,,,,
5,5,dvdt,1,3,0.0,1,0,[],20260908,16:38:07,,,20230324a,20230324a,stochastic-hh.sanpy,,20.0,-40.0,0,"[10, 20, 50, 80, 90]",75462,0.75462,-45.68223025498983,19.495405622840718,,75541,0.7554099999999999,49.49084212611739,95.17307238110723,0.7899999999999574,75853,0.7585299999999999,-71.02040237414072,71336.0,-61.98640071612856,71749,73399,16.5,-60.39949795677025,-59.922810748693,49.55240068412451,,75523,21.643387331909196,332.54819616262307,75604,23.25045768165218,-65.87354289430363,67889.0,678.89,1.4729926792263843,64973.0,649.73,41.26,"[{'halfHeight': 10, 'risingPnt': np.int64(75491), 'fallingPnt': np.int64(75745), 'widthPnts': np.int64(254), 'widthMs': np.float64(2.54)}, {'halfHeight': 20, 'risingPnt': np.int64(75502), 'fallingPnt': np.int64(75718), 'widthPnts': np.int64(216), 'widthMs': np.float64(2.16)}, {'halfHeight': 50, 'risingPnt': np.int64(75517), 'fallingPnt': np.int64(75647), 'widthPnts': np.int64(130), 'widthMs': np.float64(1.3)}, {'halfHeight': 80, 'risingPnt': np.int64(75526), 'fallingPnt': np.int64(75592), 'widthPnts': np.int64(66), 'widthMs': np.float64(0.66)}, {'halfHeight': 90, 'risingPnt': np.int64(75530), 'fallingPnt': np.int64(75573), 'widthPnts': np.int64(43), 'widthMs': np.float64(0.43)}]",2.54,2.16,1.3,0.66,0.43,0.7899999999999574,yes,,,,,,,unknown,,,,
6,6,dvdt,2,1,0.0,0,0,"[{'Spike': 0, 'Seconds': np.float64(0.1095), 'Sweep': 2, 'Epoch': 1, 'Type': 'Pre spike min under-run (mdp)', 'Details': 'Went past startPnt 0 searching for pre-spike min'}, {'Spike': 0, 'Seconds': np.float64(0.1095), 'Sweep': 2, 'Epoch': 1, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - Too low -38.268<=8'}]",20260908,16:38:07,,,20230324a,20230324a,stochastic-hh.sanpy,,20.0,-40.0,0,"[10, 20, 50, 80, 90]",10952,0.10951999999999999,-44.65665991186179,19.40979108597776,,11029,0.11029000000000001,49.840062616984255,94.49672252884605,0.7700000000000207,11318,0.11318,-71.1126786889942,3261.0,-61.21010700246129,4030,7107,30.77,-58.345465164720224,-60.365806231318594,-38.26767282103164,,11010,19.46515802027492,330.93853401541054,11096,20.34213772215639,-66.01580562302684,,,,,,76.91,"[{'halfHeight': 10, 'risingPnt': np.int64(10978), 'fallingPnt': np.int64(11211), 'widthPnts': np.int64(233), 'widthMs': np.float64(2.33)}, {'halfHeight': 20, 'risingPnt': np.int64(10990), 'fallingPnt': np.int64(11193), 'widthPnts': np.int64(203), 'widthMs': np.float64(2.03)}, {'halfHeight': 50, 'risingPnt': np.int64(11005), 'fallingPnt': np.int64(11133), 'widthPnts': np.int64(128), 'widthMs': np.float64(1.28)}, {'halfHeight': 80, 'risingPnt': np.int64(11014), 'fallingPnt': np.int64(11079), 'widthPnts': np.int64(65), 'widthMs': np.float64(0.65)}, {'halfHeight': 90, 'risingPnt': np.int64(11018), 'fallingPnt': np.int64(11058), 'widthPnts': np.int64(40), 'widthMs': np.float64(0.4)}]",2.33,2.03,1.28,0.65,0.4,0.7700000000000207,yes,,,,,,,unknown,,,,
7,7,dvdt,2,1,0.0,1,0,"[{'Spike': 1, 'Seconds': np.float64(0.1311), 'Sweep': 2, 'Epoch': 1, 'Type': 'Pre spike min under-run (mdp)', 'Details': 'Went past startPnt 0 searching for pre-spike min'}]",20260908,16:38:07,,,20230324a,20230324a,stochastic-hh.sanpy,,20.0,-40.0,0,"[10, 20, 50, 80, 90]",13109,0.13109,-44.48206464719058,19.442725135883666,,13185,0.13185,50.69552905489275,95.17759370208333,0.7599999999999829,13479,0.13479,-71.0438441516193,13083.0,-48.51143812843222,13086,13096,0.1,-48.171288067134604,-46.82766639100068,12957.563382550765,,13167,22.059604424755495,333.73585561487033,13293,-1.3788012744006028,-64.81901251988732,2157.0,21.57,46.36068613815485,9822.0,98.22,0.26,"[{'halfHeight': 10, 'risingPnt': np.int64(13136), 'fallingPnt': np.int64(13373), 'widthPnts': np.int64(237), 'widthMs': np.float64(2.37)}, {'halfHeight': 20, 'risingPnt': np.int64(13147), 'fallingPnt': np.int64(13349), 'widthPnts': np.int64(202), 'widthMs': np.float64(2.02)}, {'halfHeight': 50, 'risingPnt': np.int64(13161), 'fallingPnt': np.int64(13286), 'widthPnts': np.int64(125), 'widthMs': np.float64(1.25)}, {'halfHeight': 80, 'risingPnt': np.int64(13170), 'fallingPnt': np.int64(13233), 'widthPnts': np.int64(63), 'widthMs': np.float64(0.63)}, {'halfHeight': 90, 'risingPnt': np.int64(13174), 'fallingPnt': np.int64(13215), 'widthPnts': np.int64(41), 'widthMs': np.float64(0.41)}]",2.37,2.02,1.25,0.63,0.41,0.7599999999999829,yes,,,,,,,unknown,,,,
8,8,dvdt,2,2,0.0,2,0,"[{'Spike': 2, 'Seconds': np.float64(0.594), 'Sweep': 2, 'Epoch': 2, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - Too low -56.66<=8'}]",20260908,16:38:07,,,20230324a,20230324a,stochastic-hh.sanpy,,20.0,-40.0,0,"[10, 20, 50, 80, 90]",59404,0.59404,-45.3453682771053,19.503140003578608,,59479,0.5947899999999999,49.8455549871662,95.1909232642715,0.7499999999999174,59762,0.59762,-71.13536245411873,56845.0,-60.4937463541513,57101,58125,10.24,-59.644047977478316,-59.826477998100486,-56.66011388098316,,59460,18.56868794263723,350.01321648814746,59558,13.92124867046995,-70.45784317799146,46295.0,462.95,2.1600604816934874,43762.0,437.62,25.59,"[{'halfHeight': 10, 'risingPnt': np.int64(59430), 'fallingPnt': np.int64(59661), 'widthPnts': np.int64(231), 'widthMs': np.float64(2.31)}, {'halfHeight': 20, 'risingPnt': np.int64(59441), 'fallingPnt': np.int64(59641), 'widthPnts': np.int64(200), 'widthMs': np.float64(2.0)}, {'halfHeight': 50, 'risingPnt': np.int64(59456), 'fallingPnt': np.int64(59581), 'widthPnts': np.int64(125), 'widthMs': np.float64(1.25)}, {'halfHeight': 80, 'risingPnt': np.int64(59464), 'fallingPnt': np.int64(59526), 'widthPnts': np.int64(62), 'widthMs': np.float64(0.62)}, {'halfHeight': 90, 'risingPnt': np.int64(59468), 'fallingPnt': np.int64(59508), 'widthPnts': np.int64(40), 'widthMs': np.float64(0.4)}]",2.31,2.0,1.25,0.62,0.4,0.7499999999999174,yes,,,,,,,unknown,,,,
9,9,dvdt,2,3,0.0,3,0,"[{'Spike': 3, 'Seconds': np.float64(0.8893), 'Sweep': 2, 'Epoch': 3, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - Too low -127.814<=8'}]",20260908,16:38:07,,,20230324a,20230324a,stochastic-hh.sanpy,,20.0,-40.0,0,"[10, 20, 50, 80, 90]",88932,0.88932,-45.069627791716734,19.262735386417873,,89006,0.89006,50.391702129276844,95.46132992099358,0.7399999999999629,89295,0.89295,-71.02704086339038,84124.0,-61.81183895246129,84605,86528,19.23,-58.11246807915263,-58.653247106539254,-127.81357380050142,,88988,20.7929157300439,344.705909893843,89058,28.761363097904322,-68.4318372351263,29528.0,295.28,3.386616093199675,27279.0,272.79,48.08,"[{'halfHeight': 10, 'risingPnt': np.int64(88957), 'fallingPnt': np.int64(89191), 'widthPnts': np.int64(234), 'widthMs': np.float64(2.34)}, {'halfHeight': 20, 'risingPnt': np.int64(88968), 'fallingPnt': np.int64(89170), 'widthPnts': np.int64(202), 'widthMs': np.float64(2.02)}, {'halfHeight': 50, 'risingPnt': np.int64(88983), 'fallingPnt': np.int64(89107), 'widthPnts': np.int64(124), 'widthMs': np.float64(1.24)}, {'halfHeight': 80, 'risingPnt': np.int64(88992), 'fallingPnt': np.int64(89054), 'widthPnts': np.int64(62), 'widthMs': np.float64(0.62)}, {'halfHeight': 90, 'risingPnt': np.int64(88995), 'fallingPnt': np.int64(89038), 'widthPnts': np.int64(43), 'widthMs': np.float64(0.43)}]",2.34,2.02,1.24,0.62,0.43,0.7399999999999629,yes,,,,,,,unknown,,,,
