,analysisVersion,interfaceVersion,file,detectionType,cellType,sex,condition,sweep,sweepSpikeNumber,spikeNumber,include,userType,errors,dvdtThreshold,mvThreshold,medianFilter,halfHeights,thresholdPnt,thresholdSec,thresholdVal,thresholdVal_dvdt,dacCommand,peakPnt,peakSec,peakVal,peakHeight,timeToPeak_ms,preMinPnt,preMinVal,preLinearFitPnt0,preLinearFitPnt1,earlyDiastolicDuration_ms,preLinearFitVal0,preLinearFitVal1,earlyDiastolicDurationRate,lateDiastolicDuration,preSpike_dvdt_max_pnt,preSpike_dvdt_max_val,preSpike_dvdt_max_val2,postSpike_dvdt_min_pnt,postSpike_dvdt_min_val,postSpike_dvdt_min_val2,isi_pnts,isi_ms,spikeFreq_hz,cycleLength_pnts,cycleLength_ms,diastolicDuration_ms,widths,widths_10,widths_20,widths_50,widths_80,widths_90,myDateStr,fileIdx
0,20210803a,20210803a,2.5Hz_ctrl_0005.tif,mv,,,Control,0,0,0,True,0,"[{'Spike': 0, 'Seconds': 0.1943, 'Type': 'Pre spike min (mdp)', 'Details': 'Did not find preMinVal: nan'}, {'Spike': 0, 'Seconds': 0.1943, 'Type': 'Spike Width', 'Details': 'Half width 10 error in ""falling point"" with halfWidthWindow_ms:799.8599999999999 searching for Vm:1.29 from peak sec 0.31'}]",,1.34,0,"[10, 20, 50, 80, 90]",51,0.19425171428571425,1.0826411804158276,-0.0012053819680013574,0.0,82,0.31232628571428567,3.1188403755868523,2.036199195171025,118.07457142857142,,,5,26,79.98599999999999,,1.1626686787391007,,,61,2.1732236753856458,0.05402571707594096,84,3.0957391012743103,-0.004426846126643598,,,,,,194.25171428571426,"[{'halfHeight': 10, 'risingPnt': None, 'fallingPnt': None, 'widthPnts': None, 'widthMs': nan}, {'halfHeight': 20, 'risingPnt': 58, 'fallingPnt': 274, 'widthPnts': 216, 'widthMs': 822.7131428571428}, {'halfHeight': 50, 'risingPnt': 61, 'fallingPnt': 231, 'widthPnts': 170, 'widthMs': 647.5057142857142}, {'halfHeight': 80, 'risingPnt': 64, 'fallingPnt': 191, 'widthPnts': 127, 'widthMs': 483.7248571428571}, {'halfHeight': 90, 'risingPnt': 66, 'fallingPnt': 168, 'widthPnts': 102, 'widthMs': 388.5034285714285}]",,822.7131428571428,647.5057142857142,483.7248571428571,388.5034285714285,jan-18-2022,0
1,20210803a,20210803a,2.5Hz_ctrl_0005.tif,mv,,,Control,0,1,1,True,0,"[{'Spike': 1, 'Seconds': 1.2074, 'Type': 'Pre spike min (mdp)', 'Details': 'Did not find preMinVal: nan'}, {'Spike': 1, 'Seconds': 1.2074, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - Too low 0.856<=8'}]",,1.34,0,"[10, 20, 50, 80, 90]",317,1.207407714285714,1.1946599597585505,-0.00038199340820255966,0.0,358,1.363570857142857,3.099151576123405,1.9044916163648544,156.16314285714304,,,314,316,7.6177142857142846,1.1830633802816894,1.1929698189134799,0.8562237828239978,,324,1.721372568745807,0.037109980162021286,360,3.078808517773305,-0.003672166774054659,266.0,1013.1559999999998,0.9870148328589082,,,11.426571428571426,"[{'halfHeight': 10, 'risingPnt': 322, 'fallingPnt': 537, 'widthPnts': 215, 'widthMs': 818.9042857142856}, {'halfHeight': 20, 'risingPnt': 323, 'fallingPnt': 522, 'widthPnts': 199, 'widthMs': 757.9625714285713}, {'halfHeight': 50, 'risingPnt': 328, 'fallingPnt': 481, 'widthPnts': 153, 'widthMs': 582.7551428571428}, {'halfHeight': 80, 'risingPnt': 333, 'fallingPnt': 438, 'widthPnts': 105, 'widthMs': 399.92999999999995}, {'halfHeight': 90, 'risingPnt': 336, 'fallingPnt': 411, 'widthPnts': 75, 'widthMs': 285.66428571428565}]",818.9042857142856,757.9625714285713,582.7551428571428,399.92999999999995,285.66428571428565,jan-18-2022,0
2,20210803a,20210803a,2.5Hz_ctrl_0005.tif,mv,,,Control,0,2,2,True,0,"[{'Spike': 2, 'Seconds': 2.2129, 'Type': 'Pre spike min (mdp)', 'Details': 'Did not find preMinVal: nan'}, {'Spike': 2, 'Seconds': 2.2129, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - preMinPnt == spikePnt'}]",,1.34,0,"[10, 20, 50, 80, 90]",581,2.212946,1.088732729711602,-0.0016698495677387305,0.0,621,2.3653002857142855,3.0538293091884623,1.9650965794768602,152.35428571428545,,,580,580,0.0,1.095517437961099,1.095517437961099,,,593,2.339158283031521,0.04116832870299589,623,3.0306019450033514,-0.005449110032887559,264.0,1005.5382857142856,0.9944922179563243,,,3.8088571428571423,"[{'halfHeight': 10, 'risingPnt': 586, 'fallingPnt': 808, 'widthPnts': 222, 'widthMs': 845.5662857142856}, {'halfHeight': 20, 'risingPnt': 588, 'fallingPnt': 791, 'widthPnts': 203, 'widthMs': 773.1979999999999}, {'halfHeight': 50, 'risingPnt': 592, 'fallingPnt': 749, 'widthPnts': 157, 'widthMs': 597.9905714285713}, {'halfHeight': 80, 'risingPnt': 596, 'fallingPnt': 708, 'widthPnts': 112, 'widthMs': 426.5919999999999}, {'halfHeight': 90, 'risingPnt': 598, 'fallingPnt': 682, 'widthPnts': 84, 'widthMs': 319.94399999999996}]",845.5662857142856,773.1979999999999,597.9905714285713,426.5919999999999,319.94399999999996,jan-18-2022,0
3,20210803a,20210803a,2.5Hz_ctrl_0005.tif,mv,,,Control,0,3,3,True,0,"[{'Spike': 3, 'Seconds': 3.2223, 'Type': 'Pre spike min (mdp)', 'Details': 'Did not find preMinVal: nan'}, {'Spike': 3, 'Seconds': 3.2223, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - preMinPnt == spikePnt'}]",,1.34,0,"[10, 20, 50, 80, 90]",846,3.222293142857142,1.078530516431924,-0.00020900287328953234,0.0,888,3.3822651428571424,3.037997652582158,1.9594671361502338,159.97200000000024,,,845,845,0.0,1.0808574782025477,1.0808574782025477,,,856,2.001565727699529,0.05021836316325164,890,3.0072105969148204,-0.005388103380868381,265.0,1009.3471428571427,0.9907394171338476,,,3.8088571428571423,"[{'halfHeight': 10, 'risingPnt': 852, 'fallingPnt': 1071, 'widthPnts': 219, 'widthMs': 834.1397142857141}, {'halfHeight': 20, 'risingPnt': 853, 'fallingPnt': 1053, 'widthPnts': 200, 'widthMs': 761.7714285714285}, {'halfHeight': 50, 'risingPnt': 857, 'fallingPnt': 1015, 'widthPnts': 158, 'widthMs': 601.7994285714285}, {'halfHeight': 80, 'risingPnt': 861, 'fallingPnt': 972, 'widthPnts': 111, 'widthMs': 422.7831428571428}, {'halfHeight': 90, 'risingPnt': 863, 'fallingPnt': 947, 'widthPnts': 84, 'widthMs': 319.94399999999996}]",834.1397142857141,761.7714285714285,601.7994285714285,422.7831428571428,319.94399999999996,jan-18-2022,0
4,20210803a,20210803a,2.5Hz_ctrl_0005.tif,mv,,,Control,0,4,4,True,0,"[{'Spike': 4, 'Seconds': 4.224, 'Type': 'Pre spike min (mdp)', 'Details': 'Did not find preMinVal: nan'}, {'Spike': 4, 'Seconds': 4.224, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - preMinPnt == spikePnt'}]",,1.34,0,"[10, 20, 50, 80, 90]",1109,4.224022571428571,1.0864218645204553,-0.0012114569747895209,0.0,1156,4.403038857142857,2.9836784037558663,1.897256539235411,179.01628571428586,,,1108,1108,0.0,1.0927615694164985,1.0927615694164985,,,1123,2.3413947015425878,0.049729369138593195,1157,2.9654617706237403,-0.0016938603088538795,263.0,1001.7294285714285,0.9982735571880974,,,3.8088571428571423,"[{'halfHeight': 10, 'risingPnt': 1116, 'fallingPnt': 1339, 'widthPnts': 223, 'widthMs': 849.3751428571427}, {'halfHeight': 20, 'risingPnt': 1118, 'fallingPnt': 1322, 'widthPnts': 204, 'widthMs': 777.006857142857}, {'halfHeight': 50, 'risingPnt': 1122, 'fallingPnt': 1280, 'widthPnts': 158, 'widthMs': 601.7994285714285}, {'halfHeight': 80, 'risingPnt': 1125, 'fallingPnt': 1239, 'widthPnts': 114, 'widthMs': 434.20971428571426}, {'halfHeight': 90, 'risingPnt': 1127, 'fallingPnt': 1218, 'widthPnts': 91, 'widthMs': 346.60599999999994}]",849.3751428571427,777.006857142857,601.7994285714285,434.20971428571426,346.60599999999994,jan-18-2022,0
5,20210803a,20210803a,2.5Hz_ctrl_0005.tif,mv,,,Control,0,5,5,True,0,"[{'Spike': 5, 'Seconds': 5.2448, 'Type': 'Pre spike min (mdp)', 'Details': 'Did not find preMinVal: nan'}, {'Spike': 5, 'Seconds': 5.2448, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - preMinPnt == spikePnt'}]",,1.34,0,"[10, 20, 50, 80, 90]",1377,5.244796285714285,1.093207243460764,-0.0007457140009562173,0.0,1422,5.416194857142856,2.9929681421864496,1.8997608987256855,171.39857142857107,,,1376,1376,0.0,1.0908373574782018,1.0908373574782018,,,1387,2.205616700201206,0.049960506167049966,1424,2.9781093226022786,-0.0011649095935852736,268.0,1020.7737142857142,0.9796490505241404,,,3.8088571428571423,"[{'halfHeight': 10, 'risingPnt': 1382, 'fallingPnt': 1599, 'widthPnts': 217, 'widthMs': 826.5219999999999}, {'halfHeight': 20, 'risingPnt': 1383, 'fallingPnt': 1583, 'widthPnts': 200, 'widthMs': 761.7714285714285}, {'halfHeight': 50, 'risingPnt': 1387, 'fallingPnt': 1543, 'widthPnts': 156, 'widthMs': 594.1817142857142}, {'halfHeight': 80, 'risingPnt': 1390, 'fallingPnt': 1505, 'widthPnts': 115, 'widthMs': 438.01857142857136}, {'halfHeight': 90, 'risingPnt': 1392, 'fallingPnt': 1481, 'widthPnts': 89, 'widthMs': 338.98828571428567}]",826.5219999999999,761.7714285714285,594.1817142857142,438.01857142857136,338.98828571428567,jan-18-2022,0
6,20210803a,20210803a,2.5Hz_ctrl_0005.tif,mv,,,Control,0,6,6,True,0,"[{'Spike': 6, 'Seconds': 6.2465, 'Type': 'Pre spike min (mdp)', 'Details': 'Did not find preMinVal: nan'}, {'Spike': 6, 'Seconds': 6.2465, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - preMinPnt == spikePnt'}]",,1.34,0,"[10, 20, 50, 80, 90]",1640,6.246525714285713,1.0479510395707572,-0.00040355150682557265,0.0,1669,6.356982571428571,2.9934292421193813,1.9454782025486241,110.45685714285725,,,1639,1639,0.0,1.0502733065057002,1.0502733065057002,,,1651,2.073833333333332,0.044007034732084074,1671,2.945433936955062,-0.005942040863187285,263.0,1001.7294285714285,0.9982735571880974,,,3.8088571428571423,"[{'halfHeight': 10, 'risingPnt': 1646, 'fallingPnt': 1873, 'widthPnts': 227, 'widthMs': 864.6105714285713}, {'halfHeight': 20, 'risingPnt': 1647, 'fallingPnt': 1854, 'widthPnts': 207, 'widthMs': 788.4334285714285}, {'halfHeight': 50, 'risingPnt': 1651, 'fallingPnt': 1810, 'widthPnts': 159, 'widthMs': 605.6082857142857}, {'halfHeight': 80, 'risingPnt': 1655, 'fallingPnt': 1769, 'widthPnts': 114, 'widthMs': 434.20971428571426}, {'halfHeight': 90, 'risingPnt': 1658, 'fallingPnt': 1740, 'widthPnts': 82, 'widthMs': 312.3262857142857}]",864.6105714285713,788.4334285714285,605.6082857142857,434.20971428571426,312.3262857142857,jan-18-2022,0
7,20210803a,20210803a,2.5Hz_ctrl_0005.tif,mv,,,Control,0,7,7,True,0,"[{'Spike': 7, 'Seconds': 7.2597, 'Type': 'Pre spike min (mdp)', 'Details': 'Did not find preMinVal: nan'}, {'Spike': 7, 'Seconds': 7.2597, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - preMinPnt == spikePnt'}]",,1.34,0,"[10, 20, 50, 80, 90]",1906,7.259681714285714,1.044598591549295,-0.00020005764590291905,0.0,1947,7.415844857142856,2.910732729711601,1.8661341381623058,156.1631428571424,,,1905,1905,0.0,1.0439500335345397,1.0439500335345397,,,1916,2.124578806170354,0.04510877934825711,1948,2.8921126760563363,-0.003057091832116943,266.0,1013.1559999999998,0.9870148328589082,,,3.8088571428571423,"[{'halfHeight': 10, 'risingPnt': 1910, 'fallingPnt': 2141, 'widthPnts': 231, 'widthMs': 879.8459999999999}, {'halfHeight': 20, 'risingPnt': 1912, 'fallingPnt': 2125, 'widthPnts': 213, 'widthMs': 811.2865714285713}, {'halfHeight': 50, 'risingPnt': 1916, 'fallingPnt': 2076, 'widthPnts': 160, 'widthMs': 609.4171428571427}, {'halfHeight': 80, 'risingPnt': 1920, 'fallingPnt': 2035, 'widthPnts': 115, 'widthMs': 438.01857142857136}, {'halfHeight': 90, 'risingPnt': 1923, 'fallingPnt': 2014, 'widthPnts': 91, 'widthMs': 346.60599999999994}]",879.8459999999999,811.2865714285713,609.4171428571427,438.01857142857136,346.60599999999994,jan-18-2022,0
8,20210803a,20210803a,2.5Hz_ctrl_0005.tif,mv,,,Control,0,8,8,True,0,"[{'Spike': 8, 'Seconds': 8.2652, 'Type': 'Pre spike min (mdp)', 'Details': 'Did not find preMinVal: nan'}, {'Spike': 8, 'Seconds': 8.2652, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - preMinPnt == spikePnt'}]",,1.34,0,"[10, 20, 50, 80, 90]",2170,8.26522,1.046957075788061,-0.0021903531307113345,0.0,2211,8.421383142857142,2.8934198524480195,1.8464627766599584,156.1631428571424,,,2169,2169,0.0,1.0558635144198516,1.0558635144198516,,,2180,1.7109567404426547,0.0419350448702768,2213,2.8647474849094547,-0.004836455031541984,264.0,1005.5382857142856,0.9944922179563243,,,3.8088571428571423,"[{'halfHeight': 10, 'risingPnt': 2177, 'fallingPnt': 2413, 'widthPnts': 236, 'widthMs': 898.8902857142856}, {'halfHeight': 20, 'risingPnt': 2179, 'fallingPnt': 2393, 'widthPnts': 214, 'widthMs': 815.0954285714284}, {'halfHeight': 50, 'risingPnt': 2182, 'fallingPnt': 2341, 'widthPnts': 159, 'widthMs': 605.6082857142857}, {'halfHeight': 80, 'risingPnt': 2187, 'fallingPnt': 2302, 'widthPnts': 115, 'widthMs': 438.01857142857136}, {'halfHeight': 90, 'risingPnt': 2189, 'fallingPnt': 2281, 'widthPnts': 92, 'widthMs': 350.4148571428571}]",898.8902857142856,815.0954285714284,605.6082857142857,438.01857142857136,350.4148571428571,jan-18-2022,0
9,20210803a,20210803a,2.5Hz_ctrl_0005.tif,mv,,,Control,0,9,9,True,0,"[{'Spike': 9, 'Seconds': 9.2746, 'Type': 'Pre spike min (mdp)', 'Details': 'Did not find preMinVal: nan'}, {'Spike': 9, 'Seconds': 9.2746, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - preMinPnt == spikePnt'}, {'Spike': 9, 'Seconds': 9.2746, 'Type': 'Spike Width', 'Details': 'Half width 10 error in ""falling point"" with halfWidthWindow_ms:799.8599999999999 searching for Vm:1.3 from peak sec 9.44'}, {'Spike': 9, 'Seconds': 9.2746, 'Type': 'Spike Width', 'Details': 'Half width 20 error in ""falling point"" with halfWidthWindow_ms:799.8599999999999 searching for Vm:1.49 from peak sec 9.44'}]",,1.34,0,"[10, 20, 50, 80, 90]",2435,9.274567142857142,1.117919517102615,-0.002141088976285153,0.0,2478,9.438347999999998,2.964997317236752,1.8470778001341368,163.78085714285538,,,2434,2434,0.0,1.1242645875251502,1.1242645875251502,,,2451,2.3397320590207897,0.03745082703356387,2481,2.9072736418511047,-0.007136902881545518,265.0,1009.3471428571427,0.9907394171338476,,,3.8088571428571423,"[{'halfHeight': 10, 'risingPnt': None, 'fallingPnt': None, 'widthPnts': None, 'widthMs': nan}, {'halfHeight': 20, 'risingPnt': None, 'fallingPnt': None, 'widthPnts': None, 'widthMs': nan}, {'halfHeight': 50, 'risingPnt': 2449, 'fallingPnt': 2613, 'widthPnts': 164, 'widthMs': 624.6525714285714}, {'halfHeight': 80, 'risingPnt': 2453, 'fallingPnt': 2566, 'widthPnts': 113, 'widthMs': 430.4008571428571}, {'halfHeight': 90, 'risingPnt': 2456, 'fallingPnt': 2538, 'widthPnts': 82, 'widthMs': 312.3262857142857}]",,,624.6525714285714,430.4008571428571,312.3262857142857,jan-18-2022,0
