,Unnamed: 0,idx,spikeNum,spikeSec,lcrSec,lcrSum,lcrNum,lcrVm,preVmSec,preVmInt,preVmMean,postVmSec,postVmInt,postVmMean,lcrPreDepol,lcrPostDepol,region,cell number,trial,tifBins_ms,vmBinSeconds,tifFile,tifPath,lcrPreSpikeSec
0,0,0,1.0,2.6027,0.9158,0.92,,-54.58,0.8364,0.0794,-54.65,0.9258,0.01,-54.66,0.07,0.08,inferior,16,16a,50,0.01,20210218_.tif,dual-data/20210218/20210218_.tif,1.6869
1,1,1,1.0,2.6027,1.1158,1.821,,-52.7,0.9809,0.1349,-53.69,1.1291,0.0133,-52.84,0.99,0.14,inferior,16,16a,50,0.01,20210218_.tif,dual-data/20210218/20210218_.tif,1.4869
2,2,2,1.0,2.6027,1.3658,6.936,,-52.04,1.2736,0.0922,-53.85,1.3887,0.0229,-51.93,1.81,-0.11,inferior,16,16a,50,0.01,20210218_.tif,dual-data/20210218/20210218_.tif,1.2369
3,3,3,1.0,2.6027,1.8158,1.655,,-54.34,1.7242,0.0916,-53.54,1.8442,0.0284,-54.62,-0.8,0.28,inferior,16,16a,50,0.01,20210218_.tif,dual-data/20210218/20210218_.tif,0.7868999999999999
4,4,4,1.0,2.6027,2.0158,1.069,,-53.14,1.9238,0.092,-54.08,2.0561,0.0403,-52.72,0.94,-0.42,inferior,16,16a,50,0.01,20210218_.tif,dual-data/20210218/20210218_.tif,0.5869
5,5,5,1.0,2.6027,2.3658,2.956,,-48.53,2.2802,0.0856,-48.97,2.3868,0.021,-48.65,0.44,0.12,inferior,16,16a,50,0.01,20210218_.tif,dual-data/20210218/20210218_.tif,0.2368999999999999
7,7,7,2.0,4.222600000000001,3.0158,1.154,,-54.24,2.945,0.0708,-53.7,3.0351,0.0193,-53.98,-0.54,-0.26,inferior,16,16a,50,0.01,20210218_.tif,dual-data/20210218/20210218_.tif,1.2068000000000008
8,8,8,2.0,4.222600000000001,3.5658,1.696,,-50.07,3.4958,0.07,-50.47,3.5859,0.0201,-50.42,0.4,0.35,inferior,16,16a,50,0.01,20210218_.tif,dual-data/20210218/20210218_.tif,0.6568000000000009
9,9,9,2.0,4.222600000000001,3.7158,5.59,,-49.87,3.6437,0.0721,-50.54,3.7312,0.0154,-49.79,0.67,-0.08,inferior,16,16a,50,0.01,20210218_.tif,dual-data/20210218/20210218_.tif,0.5068000000000006
11,11,11,4.0,7.5462,6.6658,4.435,,-51.73,6.5343,0.1315,-53.11,6.6859,0.0201,-51.78,1.38,0.05,inferior,16,16a,50,0.01,20210218_.tif,dual-data/20210218/20210218_.tif,0.8803999999999998
