,tif,numLines,numPixels,umLength,umPerPixel,totalSeconds,secondsPerLine,linesPerSecond,firstFrameSeconds,xMaxRecordingSec
0,dual-data/20201222/20201222_.tif,10000.0,138.0,57.176,0.414,35.496,0.0035496000000000004,281.7218841559612,0.5153,24.9999
1,dual-data/20201222/20201222__0001.tif,10000.0,146.0,60.491,0.414,36.296,0.0036295999999999998,275.512453162883,0.5154,24.9999
2,dual-data/20210115/20210115_.tif,7000.0,208.0,172.357,0.829,29.746,0.0042494285714285715,235.3257580851207,0.516,24.9999
3,dual-data/20210115/20210115__0001.tif,7000.0,208.0,172.357,0.829,29.746,0.0042494285714285715,235.3257580851207,0.516,24.9999
4,dual-data/20210115/20210115__0002.tif,12000.0,208.0,172.357,0.829,50.996,0.004249666666666667,235.3125735351792,0.9066,49.999900000000004
5,dual-data/20210120/20210120_.tif,7000.0,174.0,144.183,0.829,27.366,0.0039094285714285715,255.79185851056053,0.5157,24.9999
6,dual-data/20210120/20210120__0001.tif,7000.0,174.0,144.183,0.829,27.366,0.0039094285714285715,255.79185851056053,0.5157,24.9999
7,dual-data/20210122/20210122_.tif,8000.0,151.0,125.125,0.829,29.516,0.0036894999999999996,271.03943623797267,0.5155,24.9999
8,dual-data/20210122/20210122__0001.tif,8000.0,151.0,125.125,0.829,29.516,0.0036894999999999996,271.03943623797267,0.5155,24.9999
9,dual-data/20210122/20210122__0002.tif,8000.0,151.0,125.125,0.829,29.516,0.0036894999999999996,271.03943623797267,0.5155,24.9999
10,dual-data/20210122/20210122__0005.tif,20000.0,26.0,21.545,0.829,27.399,0.00136995,729.9536479433556,0.5128,24.9999
11,dual-data/20210122/20210122__0006.tif,7000.0,163.0,135.068,0.829,26.666,0.0038094285714285717,262.50656266406656,0.5156,24.9999
12,dual-data/20210122/20210122__0008-v2.tif,163.0,163.0,135.068,0.829,26.666,0.16359509202453987,6.112652816320408,0.5156,24.9999
13,dual-data/20210129/20210129_.tif,8000.0,180.0,149.155,0.829,31.756,0.0039695,251.92089683839274,0.5157,24.9999
14,dual-data/20210129/20210129__0001.tif,8000.0,180.0,149.155,0.829,31.756,0.0039695,251.92089683839274,0.5157,24.9999
15,dual-data/20210129/20210129__0002.tif,8000.0,157.0,130.097,0.829,29.996,0.0037495,266.70222696359514,0.5155,24.9999
16,dual-data/20210129/20210129__0003.tif,8000.0,157.0,130.097,0.829,29.996,0.0037495,266.70222696359514,0.5155,24.9999
17,dual-data/20210129/20210129__0004.tif,9000.0,96.0,79.55,0.829,28.167,0.003129666666666667,319.52284588348067,0.5149,24.9999
18,dual-data/20210129/20210129__0005.tif,9000.0,96.0,79.55,0.829,28.167,0.003129666666666667,319.52284588348067,0.5149,24.9999
19,dual-data/20210129/20210129__0006.tif,9000.0,147.0,121.81,0.829,32.846,0.003649555555555555,274.0059672410644,0.5154,24.9999
20,dual-data/20210129/20210129__0007.tif,9000.0,75.0,62.148,0.829,26.367,0.002929666666666667,341.3357606098532,0.5147,24.9999
21,dual-data/20210202/20210202_.tif,8000.0,178.0,147.498,0.829,31.596,0.0039495,253.196607165464,0.5157,24.9999
22,dual-data/20210202/20210202__0002.tif,8000.0,154.0,127.611,0.829,29.676,0.0037094999999999997,269.5781102574471,0.5155,24.9999
23,dual-data/20210212/20210212_.tif,10000.0,75.0,62.148,0.829,29.297,0.0029297,341.33187698399155,0.5147,24.9999
24,dual-data/20210212/20210212__0001.tif,8000.0,174.0,144.183,0.829,31.276,0.0039095,255.7871850620284,0.5157,24.9999
25,dual-data/20210216/20210216_.tif,9000.0,120.0,99.437,0.829,30.327,0.0033696666666666666,296.7652586803838,0.5151,24.9999
26,dual-data/20210216/20210216__0001.tif,9000.0,100.0,82.864,0.829,28.527,0.003169666666666667,315.4905878641287,0.5149,24.9999
27,dual-data/20210216/20210216__0002.tif,10000.0,72.0,59.662,0.829,28.897,0.0028897,346.05668408485315,0.5147,24.9999
28,dual-data/20210216/20210216__0003.tif,10000.0,72.0,59.662,0.829,28.897,0.0028897,346.05668408485315,0.5147,24.9999
29,dual-data/20210218/20210218_.tif,7000.0,183.0,151.641,0.829,28.066,0.004009428571428571,249.41210004988244,0.5158,24.9999
30,dual-data/20210219/20210219_.tif,8000.0,163.0,135.068,0.829,30.476,0.0038095,262.501640635254,0.5156,24.9999
31,dual-data/20210219/20210219__0001.tif,8000.0,163.0,135.068,0.829,30.476,0.0038095,262.501640635254,0.5156,24.9999
32,dual-data/20210219/20210219__0002.tif,8000.0,163.0,135.068,0.829,30.476,0.0038095,262.501640635254,0.5156,24.9999
33,dual-data/20210219/20210219__0003.tif,9000.0,96.0,79.55,0.829,28.167,0.003129666666666667,319.52284588348067,0.5149,24.9999
34,dual-data/20210219/20210219__0004.tif,8000.0,193.0,159.928,0.829,32.876,0.0041094999999999994,243.33860566978956,0.5159,24.9999
35,dual-data/20210219/20210219__0005.tif,8000.0,193.0,159.928,0.829,32.876,0.0041094999999999994,243.33860566978956,0.5159,24.9999
