Include=yes;Acq Date=2019-05-03;Acq Time=14:57:45;Species=;Cell Type=;ID=;Age=;Sex=unknown;Genotype=;Condition1=;Condition2=;Note=;
,spikeNumber,detectionType,sweep,epoch,epochLevel,sweepSpikeNumber,userType,errors,analysisDate,analysisTime,modDate,modTime,analysisVersion,interfaceVersion,file,dvdtThreshold,mvThreshold,medianFilter,halfHeights,thresholdPnt,thresholdSec,thresholdVal,thresholdVal_dvdt,dacCommand,peakPnt,peakSec,peakVal,peakHeight,timeToPeak_ms,fastAhpPnt,fastAhpSec,fastAhpValue,preMinPnt,preMinVal,preLinearFitPnt0,preLinearFitPnt1,earlyDiastolicDuration_ms,preLinearFitVal0,preLinearFitVal1,earlyDiastolicDurationRate,lateDiastolicDuration,preSpike_dvdt_max_pnt,preSpike_dvdt_max_val,preSpike_dvdt_max_val2,postSpike_dvdt_min_pnt,postSpike_dvdt_min_val,postSpike_dvdt_min_val2,isi_pnts,isi_ms,spikeFreq_hz,cycleLength_pnts,cycleLength_ms,diastolicDuration_ms,widths,widths_10,widths_20,widths_50,widths_80,widths_90,user_timeToPeak_ms,Include,Acq Date,Acq Time,Species,Cell Type,ID,Age,Sex,Genotype,Condition1,Condition2,Note
0,0,dvdt,0,0,0.0,0,0,"[{'Spike': 0, 'Seconds': 3.5598, 'Sweep': 0, 'Epoch': 0, 'Type': 'Fast AHP was detected at end of fast AHP window', 'Details': 'Consider increasing the fast AHP window with fastAhpWindow_ms'}, {'Spike': 0, 'Seconds': 3.5598, 'Sweep': 0, 'Epoch': 0, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - Too low 7.823<=8'}]",20240115,14:09:02,,,20230324a,20230324a,19503001.abf,23.077,-20.0,0,"[10, 20, 50, 80, 90]",71195,3.55975,-44.07610212053569,7.384008290816317,,71236,3.5618000000000003,38.04670061383926,82.12280273437494,2.0500000000001073,71395,3.56975,-12.054443359374995,68231,-66.92849295479908,68527,69713,59.3,-66.11415318080354,-65.57355608258925,7.822651227545151,,71207,-18.681117466517847,87.05357142857133,71259,30.00313895089284,-12.505978954081643,,,,,,148.2,"[{'halfHeight': 10, 'risingPnt': 71203, 'fallingPnt': 71598, 'widthPnts': 395, 'widthMs': 19.75}, {'halfHeight': 20, 'risingPnt': 71205, 'fallingPnt': 71505, 'widthPnts': 300, 'widthMs': 15.0}, {'halfHeight': 50, 'risingPnt': 71211, 'fallingPnt': 71357, 'widthPnts': 146, 'widthMs': 7.3}, {'halfHeight': 80, 'risingPnt': 71219, 'fallingPnt': 71279, 'widthPnts': 60, 'widthMs': 3.0}, {'halfHeight': 90, 'risingPnt': 71223, 'fallingPnt': 71260, 'widthPnts': 37, 'widthMs': 1.85}]",19.75,15.0,7.3,3.0,1.85,2.0500000000001073,yes,2019-05-03,14:57:45,,,,,unknown,,,,
1,1,dvdt,0,1,0.0,1,0,"[{'Spike': 1, 'Seconds': 8.2026, 'Sweep': 0, 'Epoch': 1, 'Type': 'Fast AHP was detected at end of fast AHP window', 'Details': 'Consider increasing the fast AHP window with fastAhpWindow_ms'}]",20240115,14:09:02,,,20230324a,20230324a,19503001.abf,23.077,-20.0,0,"[10, 20, 50, 80, 90]",164052,8.2026,-44.961111886160694,7.351622289540788,,164094,8.2047,39.197649274553555,84.15876116071425,2.100000000000435,164253,8.21265,-12.220110212053566,162455,-66.75310407366068,162615,163253,31.9,-66.40624999999997,-64.40080915178568,50.853152379684055,,164066,-14.522007533482135,94.1635443239795,164111,33.23800223214285,-12.461136798469262,92857.0,4642.85,0.21538494674607192,94224.0,4711.2,79.85,"[{'halfHeight': 10, 'risingPnt': 164061, 'fallingPnt': 164448, 'widthPnts': 387, 'widthMs': 19.35}, {'halfHeight': 20, 'risingPnt': 164063, 'fallingPnt': 164353, 'widthPnts': 290, 'widthMs': 14.5}, {'halfHeight': 50, 'risingPnt': 164069, 'fallingPnt': 164212, 'widthPnts': 143, 'widthMs': 7.15}, {'halfHeight': 80, 'risingPnt': 164076, 'fallingPnt': 164135, 'widthPnts': 59, 'widthMs': 2.95}, {'halfHeight': 90, 'risingPnt': 164081, 'fallingPnt': 164117, 'widthPnts': 36, 'widthMs': 1.8}]",19.35,14.5,7.15,2.95,1.8,2.100000000000435,yes,2019-05-03,14:57:45,,,,,unknown,,,,
2,2,dvdt,0,1,0.0,2,0,"[{'Spike': 2, 'Seconds': 11.2475, 'Sweep': 0, 'Epoch': 1, 'Type': 'Fast AHP was detected at end of fast AHP window', 'Details': 'Consider increasing the fast AHP window with fastAhpWindow_ms'}]",20240115,14:09:02,,,20230324a,20230324a,19503001.abf,23.077,-20.0,0,"[10, 20, 50, 80, 90]",224950,11.2475,-45.77636718749998,8.72179926658157,,224991,11.24955,40.740966796874986,86.51733398437497,2.049999999998775,225150,11.2575,-9.682791573660708,223695,-68.03458077566961,223821,224323,25.1,-67.52668108258925,-64.21334402901783,125.57397609365647,,224967,-6.535121372767854,96.1166693239795,225012,33.425467354910694,-12.436224489795876,60898.0,3044.9,0.32841801044369273,61240.0,3062.0,62.75,"[{'halfHeight': 10, 'risingPnt': 224960, 'fallingPnt': 225389, 'widthPnts': 429, 'widthMs': 21.45}, {'halfHeight': 20, 'risingPnt': 224963, 'fallingPnt': 225280, 'widthPnts': 317, 'widthMs': 15.85}, {'halfHeight': 50, 'risingPnt': 224968, 'fallingPnt': 225121, 'widthPnts': 153, 'widthMs': 7.65}, {'halfHeight': 80, 'risingPnt': 224976, 'fallingPnt': 225036, 'widthPnts': 60, 'widthMs': 3.0}, {'halfHeight': 90, 'risingPnt': 224980, 'fallingPnt': 225016, 'widthPnts': 36, 'widthMs': 1.8}]",21.45,15.85,7.65,3.0,1.8,2.049999999998775,yes,2019-05-03,14:57:45,,,,,unknown,,,,
3,3,dvdt,0,1,0.0,3,0,"[{'Spike': 3, 'Seconds': 12.2386, 'Sweep': 0, 'Epoch': 1, 'Type': 'Fast AHP was detected at end of fast AHP window', 'Details': 'Consider increasing the fast AHP window with fastAhpWindow_ms'}]",20240115,14:09:02,,,20230324a,20230324a,19503001.abf,23.077,-20.0,0,"[10, 20, 50, 80, 90]",244771,12.23855,-44.10226004464283,8.096500318877531,,244810,12.2405,40.078299386160694,84.18055943080353,1.9500000000007844,244969,12.24845,-11.57052176339285,242573,-67.52764020647318,242793,243672,43.95,-67.11251395089283,-64.82805524553568,47.923751695558316,,244785,-11.688232421874995,94.66677295918359,244843,27.099609374999986,-13.564752072704088,19821.0,991.05,1.009030825891731,18878.0,943.9,109.9,"[{'halfHeight': 10, 'risingPnt': 244779, 'fallingPnt': 245137, 'widthPnts': 358, 'widthMs': 17.9}, {'halfHeight': 20, 'risingPnt': 244782, 'fallingPnt': 245062, 'widthPnts': 280, 'widthMs': 14.0}, {'halfHeight': 50, 'risingPnt': 244788, 'fallingPnt': 244930, 'widthPnts': 142, 'widthMs': 7.1}, {'halfHeight': 80, 'risingPnt': 244795, 'fallingPnt': 244853, 'widthPnts': 58, 'widthMs': 2.9}, {'halfHeight': 90, 'risingPnt': 244799, 'fallingPnt': 244833, 'widthPnts': 34, 'widthMs': 1.7}]",17.9,14.0,7.1,2.9,1.7,1.9500000000007844,yes,2019-05-03,14:57:45,,,,,unknown,,,,
4,4,dvdt,0,1,0.0,4,0,"[{'Spike': 4, 'Seconds': 17.6618, 'Sweep': 0, 'Epoch': 1, 'Type': 'Fast AHP was detected at end of fast AHP window', 'Details': 'Consider increasing the fast AHP window with fastAhpWindow_ms'}]",20240115,14:09:02,,,20230324a,20230324a,19503001.abf,23.077,-20.0,0,"[10, 20, 50, 80, 90]",353236,17.6618,-45.29244559151783,8.375518176020439,,353276,17.6638,42.7115304129464,88.00397600446423,1.9999999999988916,353435,17.67175,-10.859898158482137,351175,-68.32467215401783,351381,352205,41.2,-67.59207589285711,-65.88309151785711,20.781118318726623,,353251,-9.094238281249996,100.45639349489787,353297,33.952985491071416,-13.893594547193828,108465.0,5423.25,0.18439127829253676,108602.0,5430.1,103.05,"[{'halfHeight': 10, 'risingPnt': 353245, 'fallingPnt': 353631, 'widthPnts': 386, 'widthMs': 19.3}, {'halfHeight': 20, 'risingPnt': 353248, 'fallingPnt': 353541, 'widthPnts': 293, 'widthMs': 14.65}, {'halfHeight': 50, 'risingPnt': 353253, 'fallingPnt': 353394, 'widthPnts': 141, 'widthMs': 7.05}, {'halfHeight': 80, 'risingPnt': 353260, 'fallingPnt': 353317, 'widthPnts': 57, 'widthMs': 2.85}, {'halfHeight': 90, 'risingPnt': 353264, 'fallingPnt': 353298, 'widthPnts': 34, 'widthMs': 1.7}]",19.3,14.65,7.05,2.85,1.7,1.9999999999988916,yes,2019-05-03,14:57:45,,,,,unknown,,,,
5,5,dvdt,0,1,0.0,5,0,"[{'Spike': 5, 'Seconds': 19.3185, 'Sweep': 0, 'Epoch': 1, 'Type': 'Fast AHP was detected at end of fast AHP window', 'Details': 'Consider increasing the fast AHP window with fastAhpWindow_ms'}, {'Spike': 5, 'Seconds': 19.3185, 'Sweep': 0, 'Epoch': 1, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - Too low -12.281<=8'}]",20240115,14:09:02,,,20230324a,20230324a,19503001.abf,23.077,-20.0,0,"[10, 20, 50, 80, 90]",386371,19.31855,-44.7867257254464,8.432816485969397,,386412,19.3206,42.05322265624998,86.83994838169639,2.0500000000005514,386571,19.32855,-12.416294642857137,383882,-68.7863595145089,384131,385126,49.75,-68.02804129464283,-67.12123325892854,-12.281254063986236,,386386,-6.138392857142854,100.66316565688766,386441,28.525216238839274,-14.905034279336714,33135.0,1656.75,0.6035913686434284,32707.0,1635.35,124.45,"[{'halfHeight': 10, 'risingPnt': 386379, 'fallingPnt': 386745, 'widthPnts': 366, 'widthMs': 18.3}, {'halfHeight': 20, 'risingPnt': 386382, 'fallingPnt': 386664, 'widthPnts': 282, 'widthMs': 14.1}, {'halfHeight': 50, 'risingPnt': 386387, 'fallingPnt': 386527, 'widthPnts': 140, 'widthMs': 7.0}, {'halfHeight': 80, 'risingPnt': 386394, 'fallingPnt': 386450, 'widthPnts': 56, 'widthMs': 2.8}, {'halfHeight': 90, 'risingPnt': 386398, 'fallingPnt': 386433, 'widthPnts': 35, 'widthMs': 1.75}]",18.3,14.1,7.0,2.8,1.75,2.0500000000005514,yes,2019-05-03,14:57:45,,,,,unknown,,,,
6,6,dvdt,0,1,0.0,6,0,"[{'Spike': 6, 'Seconds': 23.9652, 'Sweep': 0, 'Epoch': 1, 'Type': 'Fast AHP was detected at end of fast AHP window', 'Details': 'Consider increasing the fast AHP window with fastAhpWindow_ms'}]",20240115,14:09:02,,,20230324a,20230324a,19503001.abf,23.077,-20.0,0,"[10, 20, 50, 80, 90]",479304,23.9652,-44.642857142857125,7.650569993622399,,479341,23.96705,43.269566127232125,87.91242327008925,1.8500000000010175,479500,23.975,-12.586321149553564,477505,-68.52988106863836,477685,478405,36.0,-68.19806780133925,-66.21442522321425,40.330589000107864,,479317,-11.875697544642852,105.7253467793366,479359,36.294119698660694,-13.225944674744866,92933.0,4646.65,0.21520880634435566,93623.0,4681.15,89.95,"[{'halfHeight': 10, 'risingPnt': 479312, 'fallingPnt': 479671, 'widthPnts': 359, 'widthMs': 17.95}, {'halfHeight': 20, 'risingPnt': 479315, 'fallingPnt': 479585, 'widthPnts': 270, 'widthMs': 13.5}, {'halfHeight': 50, 'risingPnt': 479320, 'fallingPnt': 479453, 'widthPnts': 133, 'widthMs': 6.65}, {'halfHeight': 80, 'risingPnt': 479326, 'fallingPnt': 479381, 'widthPnts': 55, 'widthMs': 2.75}, {'halfHeight': 90, 'risingPnt': 479330, 'fallingPnt': 479363, 'widthPnts': 33, 'widthMs': 1.65}]",17.95,13.5,6.65,2.75,1.65,1.8500000000010175,yes,2019-05-03,14:57:45,,,,,unknown,,,,
7,7,dvdt,0,1,0.0,7,0,"[{'Spike': 7, 'Seconds': 26.6734, 'Sweep': 0, 'Epoch': 1, 'Type': 'Fast AHP was detected at end of fast AHP window', 'Details': 'Consider increasing the fast AHP window with fastAhpWindow_ms'}]",20240115,14:09:02,,,20230324a,20230324a,19503001.abf,23.077,-20.0,0,"[10, 20, 50, 80, 90]",533469,26.67345,-43.6880929129464,8.143833705357114,,533508,26.6754,42.20581054687498,85.89390345982139,1.9500000000007844,533667,26.683349999999997,-11.40485491071428,529733,-66.05412074497764,530107,531601,74.7,-65.31197684151782,-63.91252790178568,13.822008240883928,,533483,-9.34709821428571,103.64267777423457,533526,34.423828124999986,-13.714225924744877,54165.0,2708.25,0.36924213052709315,52228.0,2611.4,186.8,"[{'halfHeight': 10, 'risingPnt': 533477, 'fallingPnt': 533861, 'widthPnts': 384, 'widthMs': 19.2}, {'halfHeight': 20, 'risingPnt': 533480, 'fallingPnt': 533767, 'widthPnts': 287, 'widthMs': 14.35}, {'halfHeight': 50, 'risingPnt': 533485, 'fallingPnt': 533626, 'widthPnts': 141, 'widthMs': 7.05}, {'halfHeight': 80, 'risingPnt': 533492, 'fallingPnt': 533548, 'widthPnts': 56, 'widthMs': 2.8}, {'halfHeight': 90, 'risingPnt': 533496, 'fallingPnt': 533528, 'widthPnts': 32, 'widthMs': 1.6}]",19.2,14.35,7.05,2.8,1.6,1.9500000000007844,yes,2019-05-03,14:57:45,,,,,unknown,,,,
8,8,dvdt,0,1,0.0,8,0,"[{'Spike': 8, 'Seconds': 27.2225, 'Sweep': 0, 'Epoch': 1, 'Type': 'Fast AHP was detected at end of fast AHP window', 'Details': 'Consider increasing the fast AHP window with fastAhpWindow_ms'}]",20240115,14:09:02,,,20230324a,20230324a,19503001.abf,23.077,-20.0,0,"[10, 20, 50, 80, 90]",544450,27.2225,-42.67665318080355,6.644112723214288,,544487,27.224349999999998,40.095738002232125,82.77239118303567,1.8499999999974648,544646,27.2323,-11.444091796874995,541897,-64.95374407087051,542152,543173,51.05,-64.18282645089283,-62.29509626116068,31.305875630006394,,544465,-5.288260323660712,96.48038903061214,544512,30.46962193080356,-14.815349968112253,10981.0,549.05,1.82132774792824,12164.0,608.2,127.65,"[{'halfHeight': 10, 'risingPnt': 544458, 'fallingPnt': 544821, 'widthPnts': 363, 'widthMs': 18.15}, {'halfHeight': 20, 'risingPnt': 544461, 'fallingPnt': 544739, 'widthPnts': 278, 'widthMs': 13.9}, {'halfHeight': 50, 'risingPnt': 544466, 'fallingPnt': 544603, 'widthPnts': 137, 'widthMs': 6.85}, {'halfHeight': 80, 'risingPnt': 544473, 'fallingPnt': 544528, 'widthPnts': 55, 'widthMs': 2.75}, {'halfHeight': 90, 'risingPnt': 544477, 'fallingPnt': 544510, 'widthPnts': 33, 'widthMs': 1.65}]",18.15,13.9,6.85,2.75,1.65,1.8499999999974648,yes,2019-05-03,14:57:45,,,,,unknown,,,,
9,9,dvdt,0,1,0.0,9,0,"[{'Spike': 9, 'Seconds': 29.1798, 'Sweep': 0, 'Epoch': 1, 'Type': 'Fast AHP was detected at end of fast AHP window', 'Details': 'Consider increasing the fast AHP window with fastAhpWindow_ms'}, {'Spike': 9, 'Seconds': 29.1798, 'Sweep': 0, 'Epoch': 1, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - Too low -3.315<=8'}]",20240115,14:09:02,,,20230324a,20230324a,19503001.abf,23.077,-20.0,0,"[10, 20, 50, 80, 90]",583595,29.17975,-42.27992466517855,9.080536511479561,,583631,29.181549999999998,41.059221540178555,83.33914620535711,1.7999999999993577,583790,29.1895,-10.729108537946423,578783,-63.816310337611576,579264,581189,96.25,-63.110351562499964,-63.01879882812497,-3.3150910101425475,,583610,-1.992361886160713,96.02947624362237,583653,32.679966517857125,-13.622050382653018,39145.0,1957.25,0.510920934985311,36886.0,1844.3,240.6,"[{'halfHeight': 10, 'risingPnt': 583603, 'fallingPnt': 583983, 'widthPnts': 380, 'widthMs': 19.0}, {'halfHeight': 20, 'risingPnt': 583605, 'fallingPnt': 583888, 'widthPnts': 283, 'widthMs': 14.15}, {'halfHeight': 50, 'risingPnt': 583611, 'fallingPnt': 583747, 'widthPnts': 136, 'widthMs': 6.8}, {'halfHeight': 80, 'risingPnt': 583617, 'fallingPnt': 583672, 'widthPnts': 55, 'widthMs': 2.75}, {'halfHeight': 90, 'risingPnt': 583621, 'fallingPnt': 583653, 'widthPnts': 32, 'widthMs': 1.6}]",19.0,14.15,6.8,2.75,1.6,1.7999999999993577,yes,2019-05-03,14:57:45,,,,,unknown,,,,
