Include=yes;Acq Date=2021-07-20;Acq Time=17:26:31;Species=;Cell Type=;ID=;Age=;Sex=unknown;Genotype=;Condition1=;Condition2=;Note=;
,spikeNumber,detectionType,sweep,epoch,epochLevel,sweepSpikeNumber,userType,errors,analysisDate,analysisTime,modDate,modTime,analysisVersion,interfaceVersion,file,dvdtThreshold,mvThreshold,medianFilter,halfHeights,thresholdPnt,thresholdSec,thresholdVal,thresholdVal_dvdt,dacCommand,peakPnt,peakSec,peakVal,peakHeight,timeToPeak_ms,fastAhpPnt,fastAhpSec,fastAhpValue,preMinPnt,preMinVal,preLinearFitPnt0,preLinearFitPnt1,earlyDiastolicDuration_ms,preLinearFitVal0,preLinearFitVal1,earlyDiastolicDurationRate,lateDiastolicDuration,preSpike_dvdt_max_pnt,preSpike_dvdt_max_val,preSpike_dvdt_max_val2,postSpike_dvdt_min_pnt,postSpike_dvdt_min_val,postSpike_dvdt_min_val2,isi_pnts,isi_ms,spikeFreq_hz,cycleLength_pnts,cycleLength_ms,diastolicDuration_ms,widths,widths_10,widths_20,widths_50,widths_80,widths_90,user_timeToPeak_ms,Include,Acq Date,Acq Time,Species,Cell Type,ID,Age,Sex,Genotype,Condition1,Condition2,Note
0,0,dvdt,9,2,3.725290298461914e-08,0,0,"[{'Spike': 0, 'Seconds': 0.0298, 'Sweep': 9, 'Epoch': 2, 'Type': 'Pre spike min under-run (mdp)', 'Details': 'Went past startPnt 0 searching for pre-spike min'}]",20240115,12:31:54,,,20230324a,20230324a,2021_07_20_0010.abf,68.337,-40.0,0,"[10, 20, 50, 80, 90]",298,0.0298,-45.51042447771343,13.295451031898926,,303,0.0303,-7.732281807490749,37.77814267022268,0.5000000000000004,310.0,0.031,-77.118784223284,276.0,-67.22568293980186,278,287,0.9,-61.38392508370532,-55.58907263619557,6157.139587402367,,301,-22.263879108428945,138.60310313944905,305,-40.965921824319,-185.95467429647627,,,,,,2.2,"[{'halfHeight': 10, 'risingPnt': 298, 'fallingPnt': 306, 'widthPnts': 8, 'widthMs': 0.8}, {'halfHeight': 20, 'risingPnt': 300, 'fallingPnt': 305, 'widthPnts': 5, 'widthMs': 0.5}, {'halfHeight': 50, 'risingPnt': 300, 'fallingPnt': 305, 'widthPnts': 5, 'widthMs': 0.5}, {'halfHeight': 80, 'risingPnt': 302, 'fallingPnt': 304, 'widthPnts': 2, 'widthMs': 0.2}, {'halfHeight': 90, 'risingPnt': 302, 'fallingPnt': 304, 'widthPnts': 2, 'widthMs': 0.2}]",0.8,0.5,0.5,0.2,0.2,0.5000000000000004,yes,2021-07-20,17:26:31,,,,,unknown,,,,
1,1,dvdt,10,2,0.1000000387430191,0,0,"[{'Spike': 0, 'Seconds': 0.029, 'Sweep': 10, 'Epoch': 2, 'Type': 'Pre spike min under-run (mdp)', 'Details': 'Went past startPnt 0 searching for pre-spike min'}, {'Spike': 0, 'Seconds': 0.029, 'Sweep': 10, 'Epoch': 2, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - Too low 1.44<=8'}]",20240115,12:31:54,,,20230324a,20230324a,2021_07_20_0010.abf,68.337,-40.0,0,"[10, 20, 50, 80, 90]",290,0.029,-48.685124533517,12.092932876275505,,297,0.0297,-5.03452790124075,43.65059663227625,0.6999999999999993,303.0,0.0303,-76.09862518310544,111.0,-67.99423762730186,129,201,7.2,-67.57986123221258,-67.51533835274829,1.4403204508160028,,295,-22.165350927625372,142.55519178740823,299,-39.15404961449757,-193.03549979073642,,,,,,17.9,"[{'halfHeight': 10, 'risingPnt': 290, 'fallingPnt': 300, 'widthPnts': 10, 'widthMs': 1.0}, {'halfHeight': 20, 'risingPnt': 290, 'fallingPnt': 300, 'widthPnts': 10, 'widthMs': 1.0}, {'halfHeight': 50, 'risingPnt': 294, 'fallingPnt': 299, 'widthPnts': 5, 'widthMs': 0.5}, {'halfHeight': 80, 'risingPnt': 296, 'fallingPnt': 298, 'widthPnts': 2, 'widthMs': 0.2}, {'halfHeight': 90, 'risingPnt': 296, 'fallingPnt': 298, 'widthPnts': 2, 'widthMs': 0.2}]",1.0,1.0,0.5,0.2,0.2,0.6999999999999993,yes,2021-07-20,17:26:31,,,,,unknown,,,,
2,2,dvdt,11,2,0.20000004023313522,0,0,"[{'Spike': 0, 'Seconds': 0.0289, 'Sweep': 11, 'Epoch': 2, 'Type': 'Pre spike min under-run (mdp)', 'Details': 'Went past startPnt 0 searching for pre-spike min'}]",20240115,12:31:54,,,20230324a,20230324a,2021_07_20_0010.abf,68.337,-40.0,0,"[10, 20, 50, 80, 90]",289,0.0289,-47.73384802682057,12.25012954400508,,296,0.0296,-3.24358222825186,44.49026579856871,0.7000000000000027,302.0,0.030199999999999998,-74.19868796212329,215.0,-68.29050227573936,222,252,3.0,-68.15010397774829,-67.62171391078401,142.09853396134585,,294,-21.410258913040153,144.59301784281817,298,-37.98043073245455,-196.0944813786719,,,,,,7.4,"[{'halfHeight': 10, 'risingPnt': 289, 'fallingPnt': 299, 'widthPnts': 10, 'widthMs': 1.0}, {'halfHeight': 20, 'risingPnt': 289, 'fallingPnt': 299, 'widthPnts': 10, 'widthMs': 1.0}, {'halfHeight': 50, 'risingPnt': 293, 'fallingPnt': 298, 'widthPnts': 5, 'widthMs': 0.5}, {'halfHeight': 80, 'risingPnt': 295, 'fallingPnt': 297, 'widthPnts': 2, 'widthMs': 0.2}, {'halfHeight': 90, 'risingPnt': 295, 'fallingPnt': 297, 'widthPnts': 2, 'widthMs': 0.2}]",1.0,1.0,0.5,0.2,0.2,0.7000000000000027,yes,2021-07-20,17:26:31,,,,,unknown,,,,
3,3,dvdt,11,2,0.20000004023313522,1,0,"[{'Spike': 1, 'Seconds': 0.0338, 'Sweep': 11, 'Epoch': 2, 'Type': 'Pre spike min under-run (mdp)', 'Details': 'Went past startPnt 0 searching for pre-spike min'}, {'Spike': 1, 'Seconds': 0.0338, 'Sweep': 11, 'Epoch': 2, 'Type': 'Spike Width', 'Details': 'Half width 90 error in ""rising point"" with halfWidthWindow_ms:4.0 searching for Vm:-7.66 from peak sec 0.03'}]",20240115,12:31:54,,,20230324a,20230324a,2021_07_20_0010.abf,68.337,-40.0,0,"[10, 20, 50, 80, 90]",338,0.0338,-42.87893731253486,13.80341304078392,,343,0.0343,-3.7484301396778594,39.130507172857,0.5000000000000004,350.0,0.035,-73.50899069649829,326.0,-53.15675150108334,327,332,0.5,-52.25393731253485,-48.97896521432057,6320.626395089453,,342,-13.242884295327315,140.35120144085,346,-43.781386429922904,-177.60232586957957,49.0,4.9,204.0816326530612,111.0,11.1,1.2,"[{'halfHeight': 10, 'risingPnt': 338, 'fallingPnt': 346, 'widthPnts': 8, 'widthMs': 0.8}, {'halfHeight': 20, 'risingPnt': 338, 'fallingPnt': 346, 'widthPnts': 8, 'widthMs': 0.8}, {'halfHeight': 50, 'risingPnt': 342, 'fallingPnt': 345, 'widthPnts': 3, 'widthMs': 0.3}, {'halfHeight': 80, 'risingPnt': 342, 'fallingPnt': 345, 'widthPnts': 3, 'widthMs': 0.3}, {'halfHeight': 90, 'risingPnt': None, 'fallingPnt': None, 'widthPnts': None, 'widthMs': nan}]",0.8,0.8,0.3,0.3,,0.5000000000000004,yes,2021-07-20,17:26:31,,,,,unknown,,,,
4,4,dvdt,11,2,0.20000004023313522,2,0,"[{'Spike': 2, 'Seconds': 0.0393, 'Sweep': 11, 'Epoch': 2, 'Type': 'Pre spike min under-run (mdp)', 'Details': 'Went past startPnt 0 searching for pre-spike min'}]",20240115,12:31:54,,,20230324a,20230324a,2021_07_20_0010.abf,68.337,-40.0,0,"[10, 20, 50, 80, 90]",393,0.039299999999999995,-42.770817892892,11.851283342011119,,399,0.0399,-6.053815010615751,36.71700288227625,0.6000000000000033,407.0,0.0407,-72.3004946027483,377.0,-53.15675150108334,379,385,0.6,-51.97404752458843,-48.98506872994557,4716.89652423457,,398,-15.331158447265617,121.93951145094258,402,-40.23698771340504,-166.84768254805567,55.0,5.5,181.81818181818184,51.0,5.1,1.6,"[{'halfHeight': 10, 'risingPnt': 395, 'fallingPnt': 402, 'widthPnts': 7, 'widthMs': 0.7}, {'halfHeight': 20, 'risingPnt': 395, 'fallingPnt': 402, 'widthPnts': 7, 'widthMs': 0.7}, {'halfHeight': 50, 'risingPnt': 395, 'fallingPnt': 402, 'widthPnts': 7, 'widthMs': 0.7}, {'halfHeight': 80, 'risingPnt': 398, 'fallingPnt': 401, 'widthPnts': 3, 'widthMs': 0.3}, {'halfHeight': 90, 'risingPnt': 398, 'fallingPnt': 401, 'widthPnts': 3, 'widthMs': 0.3}]",0.7,0.7,0.7,0.3,0.3,0.6000000000000033,yes,2021-07-20,17:26:31,,,,,unknown,,,,
5,5,dvdt,11,2,0.20000004023313522,3,0,"[{'Spike': 3, 'Seconds': 0.045, 'Sweep': 11, 'Epoch': 2, 'Type': 'Pre spike min under-run (mdp)', 'Details': 'Went past startPnt 0 searching for pre-spike min'}]",20240115,12:31:54,,,20230324a,20230324a,2021_07_20_0010.abf,68.337,-40.0,0,"[10, 20, 50, 80, 90]",450,0.045,-43.04809188842771,11.000777264030603,,457,0.045700000000000005,-6.149727399008608,36.89836448941911,0.7000000000000062,464.0,0.0464,-71.71978868756972,434.0,-53.15675150108334,436,442,0.6,-51.879878997802706,-49.21525846208842,4120.744977678405,,456,-11.055209786551332,112.66839577811098,460,-44.90094558170861,-157.77810745239242,57.0,5.7,175.43859649122805,57.0,5.7,1.6,"[{'halfHeight': 10, 'risingPnt': 450, 'fallingPnt': 460, 'widthPnts': 10, 'widthMs': 1.0}, {'halfHeight': 20, 'risingPnt': 450, 'fallingPnt': 460, 'widthPnts': 10, 'widthMs': 1.0}, {'halfHeight': 50, 'risingPnt': 455, 'fallingPnt': 459, 'widthPnts': 4, 'widthMs': 0.4}, {'halfHeight': 80, 'risingPnt': 456, 'fallingPnt': 458, 'widthPnts': 2, 'widthMs': 0.2}, {'halfHeight': 90, 'risingPnt': 456, 'fallingPnt': 458, 'widthPnts': 2, 'widthMs': 0.2}]",1.0,1.0,0.4,0.2,0.2,0.7000000000000062,yes,2021-07-20,17:26:31,,,,,unknown,,,,
6,6,dvdt,12,2,0.30000004172325134,0,0,"[{'Spike': 0, 'Seconds': 0.0288, 'Sweep': 12, 'Epoch': 2, 'Type': 'Pre spike min under-run (mdp)', 'Details': 'Went past startPnt 0 searching for pre-spike min'}]",20240115,12:31:54,,,20230324a,20230324a,2021_07_20_0010.abf,68.337,-40.0,0,"[10, 20, 50, 80, 90]",288,0.0288,-44.34378106253486,13.227440376670948,,292,0.0292,-0.6661550045013378,43.677626058033525,0.400000000000001,299.0,0.0299,-73.23433249337329,228.0,-68.31125422886436,234,258,2.4,-68.18498120989115,-67.52841731480186,396.6830235830759,,291,-15.958947692598606,166.9737365644804,295,-40.56396170343669,-202.16934740494693,,,,,,6.0,"[{'halfHeight': 10, 'risingPnt': 290, 'fallingPnt': 295, 'widthPnts': 5, 'widthMs': 0.5}, {'halfHeight': 20, 'risingPnt': 290, 'fallingPnt': 295, 'widthPnts': 5, 'widthMs': 0.5}, {'halfHeight': 50, 'risingPnt': 290, 'fallingPnt': 295, 'widthPnts': 5, 'widthMs': 0.5}, {'halfHeight': 80, 'risingPnt': 291, 'fallingPnt': 294, 'widthPnts': 3, 'widthMs': 0.3}, {'halfHeight': 90, 'risingPnt': 291, 'fallingPnt': 294, 'widthPnts': 3, 'widthMs': 0.3}]",0.5,0.5,0.5,0.3,0.3,0.400000000000001,yes,2021-07-20,17:26:31,,,,,unknown,,,,
7,7,dvdt,12,2,0.30000004172325134,1,0,"[{'Spike': 1, 'Seconds': 0.0326, 'Sweep': 12, 'Epoch': 2, 'Type': 'Pre spike min under-run (mdp)', 'Details': 'Went past startPnt 0 searching for pre-spike min'}]",20240115,12:31:54,,,20230324a,20230324a,2021_07_20_0010.abf,68.337,-40.0,0,"[10, 20, 50, 80, 90]",326,0.032600000000000004,-42.912070683070574,14.242617007664231,,331,0.033100000000000004,-0.656563760553083,42.25550692251749,0.5000000000000004,338.0,0.0338,-72.65275464739115,317.0,-52.13127355303081,318,321,0.3,-51.22157124110628,-48.99640383039199,6988.525390625219,,330,-6.57784552574157,151.5433037981694,333,-31.217736320836188,-185.8933942960232,38.0,3.8,263.1578947368421,89.0,8.9,0.9,"[{'halfHeight': 10, 'risingPnt': 326, 'fallingPnt': 334, 'widthPnts': 8, 'widthMs': 0.8}, {'halfHeight': 20, 'risingPnt': 326, 'fallingPnt': 334, 'widthPnts': 8, 'widthMs': 0.8}, {'halfHeight': 50, 'risingPnt': 329, 'fallingPnt': 333, 'widthPnts': 4, 'widthMs': 0.4}, {'halfHeight': 80, 'risingPnt': 330, 'fallingPnt': 332, 'widthPnts': 2, 'widthMs': 0.2}, {'halfHeight': 90, 'risingPnt': 330, 'fallingPnt': 332, 'widthPnts': 2, 'widthMs': 0.2}]",0.8,0.8,0.4,0.2,0.2,0.5000000000000004,yes,2021-07-20,17:26:31,,,,,unknown,,,,
8,8,dvdt,12,2,0.30000004172325134,2,0,"[{'Spike': 2, 'Seconds': 0.0374, 'Sweep': 12, 'Epoch': 2, 'Type': 'Pre spike min under-run (mdp)', 'Details': 'Went past startPnt 0 searching for pre-spike min'}]",20240115,12:31:54,,,20230324a,20230324a,2021_07_20_0010.abf,68.337,-40.0,0,"[10, 20, 50, 80, 90]",374,0.037399999999999996,-43.81887871878486,11.41830755739793,,381,0.0381,-2.7291433572769113,41.08973536150795,0.7000000000000062,388.0,0.038799999999999994,-72.09384700230186,362.0,-52.13127355303081,363,368,0.5,-51.37764685494557,-48.71128245762414,5151.367187499799,,380,-5.841063935416081,128.74679666830562,383,-32.429719226700904,-175.62503530346603,48.0,4.8,208.33333333333334,45.0,4.5,1.2,"[{'halfHeight': 10, 'risingPnt': 374, 'fallingPnt': 384, 'widthPnts': 10, 'widthMs': 1.0}, {'halfHeight': 20, 'risingPnt': 374, 'fallingPnt': 384, 'widthPnts': 10, 'widthMs': 1.0}, {'halfHeight': 50, 'risingPnt': 379, 'fallingPnt': 383, 'widthPnts': 4, 'widthMs': 0.4}, {'halfHeight': 80, 'risingPnt': 380, 'fallingPnt': 382, 'widthPnts': 2, 'widthMs': 0.2}, {'halfHeight': 90, 'risingPnt': 380, 'fallingPnt': 382, 'widthPnts': 2, 'widthMs': 0.2}]",1.0,1.0,0.4,0.2,0.2,0.7000000000000062,yes,2021-07-20,17:26:31,,,,,unknown,,,,
9,9,dvdt,12,2,0.30000004172325134,3,0,"[{'Spike': 3, 'Seconds': 0.0426, 'Sweep': 12, 'Epoch': 2, 'Type': 'Pre spike min under-run (mdp)', 'Details': 'Went past startPnt 0 searching for pre-spike min'}, {'Spike': 3, 'Seconds': 0.0426, 'Sweep': 12, 'Epoch': 2, 'Type': 'Spike Width', 'Details': 'Half width 90 error in ""rising point"" with halfWidthWindow_ms:4.0 searching for Vm:-6.71 from peak sec 0.04'}]",20240115,12:31:54,,,20230324a,20230324a,2021_07_20_0010.abf,68.337,-40.0,0,"[10, 20, 50, 80, 90]",426,0.0426,-42.10640662057057,12.690080775046821,,432,0.0432,-2.7805869477135743,39.325819672856994,0.6000000000000033,439.0,0.0439,-71.48611123221258,412.0,-52.13127355303081,413,419,0.6,-51.32358714512414,-48.06343787057057,5304.577885841922,,431,-11.458041940416603,132.71333672465101,435,-41.308590670994334,-172.2623725054214,52.0,5.2,192.30769230769232,50.0,5.0,1.4,"[{'halfHeight': 10, 'risingPnt': 427, 'fallingPnt': 435, 'widthPnts': 8, 'widthMs': 0.8}, {'halfHeight': 20, 'risingPnt': 427, 'fallingPnt': 435, 'widthPnts': 8, 'widthMs': 0.8}, {'halfHeight': 50, 'risingPnt': 431, 'fallingPnt': 434, 'widthPnts': 3, 'widthMs': 0.3}, {'halfHeight': 80, 'risingPnt': 431, 'fallingPnt': 434, 'widthPnts': 3, 'widthMs': 0.3}, {'halfHeight': 90, 'risingPnt': None, 'fallingPnt': None, 'widthPnts': None, 'widthMs': nan}]",0.8,0.8,0.3,0.3,,0.6000000000000033,yes,2021-07-20,17:26:31,,,,,unknown,,,,
