s,mV
0.0,-85.37985584326319
0.0001,-85.37976398332617
0.0002,-85.37968503432859
0.00030000000000000003,-85.37961366123157
0.0004,-85.37954228813456
0.0005,-85.37947091503754
0.0006000000000000001,-85.37939954194053
0.0007000000000000001,-85.37932816884351
0.0008,-85.3792567957465
0.0009,-85.37918542264948
0.001,-85.37911404955246
0.0011,-85.37904267645544
0.0012000000000000001,-85.37897130335843
0.0013,-85.37893328812117
0.0014000000000000002,-85.37889908931196
0.0015,-85.37886489050274
0.0016,-85.37883069169352
0.0017000000000000001,-85.37879649288432
0.0018,-85.3787622940751
0.0019000000000000002,-85.37872809526588
0.002,-85.37869389645667
0.0021000000000000003,-85.37865969764745
0.0022,-85.37862549883825
0.0023000000000000004,-85.37859130002903
0.0024000000000000002,-85.37855710121981
0.0025,-85.3785229024106
0.0026,-85.37848870360138
0.0027,-85.37845450479216
0.0028000000000000004,-85.37842030598296
0.0029000000000000002,-85.37838610717374
0.003,-85.37835190836452
0.0031,-85.3783177095553
0.0032,-85.37828351074609
0.0033000000000000004,-85.37824931193687
0.0034000000000000002,-85.37821511312767
0.0035,-85.37818091431845
0.0036,-85.37814671550923
0.0037,-85.37811251670001
0.0038000000000000004,-85.3780783178908
0.0039000000000000003,-85.37804411908158
0.004,-85.37800992027238
0.0041,-85.37797572146316
0.004200000000000001,-85.37794152265394
0.0043,-85.37790732384472
0.0044,-85.3778731250355
0.0045,-85.3778389262263
0.004600000000000001,-85.37780472741709
0.0047,-85.37777052860787
0.0048000000000000004,-85.37773632979865
0.004900000000000001,-85.37770213098943
0.005,-85.37767121161083
0.0051,-85.37766267121334
0.0052,-85.37765413081587
0.005300000000000001,-85.3776455904184
0.0054,-85.37763705002091
0.0055,-85.37762850962343
0.005600000000000001,-85.37761996922596
0.0057,-85.37761142882847
0.0058000000000000005,-85.377602888431
0.005900000000000001,-85.37759434803351
0.006,-85.37758580763604
0.0061,-85.37757726723856
0.0062,-85.37756872684108
0.006300000000000001,-85.3775601864436
0.0064,-85.37755164604613
0.0065,-85.37754310564864
0.006600000000000001,-85.37753456525117
0.0067,-85.3775260248537
0.0068000000000000005,-85.3775174844562
0.006900000000000001,-85.37750894405873
0.007,-85.37750040366126
0.0071,-85.37749186326377
0.0072,-85.3774833228663
0.007300000000000001,-85.37747478246882
0.0074,-85.37746624207134
0.0075,-85.37745770167386
0.007600000000000001,-85.37744916127639
0.0077,-85.3774406208789
0.0078000000000000005,-85.37743208048143
0.0079,-85.37742354008395
0.008,-85.37741499968647
0.0081,-85.37740645928899
0.0082,-85.37739791889152
0.0083,-85.37738937849403
0.008400000000000001,-85.37738083809656
0.0085,-85.37737229769908
0.0086,-85.3773637573016
0.008700000000000001,-85.37735521690412
0.0088,-85.37734667650665
0.0089,-85.37733813610916
0.009,-85.37732959571169
0.0091,-85.37732105531421
0.009200000000000002,-85.37731251491672
0.009300000000000001,-85.37730397451925
0.0094,-85.37729543412176
0.0095,-85.37728689372429
0.009600000000000001,-85.37727835332682
0.0097,-85.37726981292933
0.009800000000000001,-85.37726127253185
0.0099,-85.37725273213438
0.01,-85.37724419173689
0.010100000000000001,-85.37723565133942
0.0102,-85.37722711094194
0.0103,-85.37721857054446
0.0104,-85.37721003014698
0.0105,-85.37720148974951
0.010600000000000002,-85.37719294935202
0.010700000000000001,-85.37718440895455
0.0108,-85.37717586855707
0.0109,-85.37716732815959
0.011,-85.37715878776211
0.011100000000000002,-85.37715024736464
0.011200000000000002,-85.37714170696715
0.011300000000000001,-85.37713316656968
0.0114,-85.3771246261722
0.0115,-85.37712075988975
0.011600000000000001,-85.37712252840075
0.0117,-85.37712429691176
0.011800000000000001,-85.37712606542276
0.0119,-85.37712783393376
0.012,-85.37712960244477
0.012100000000000001,-85.37713137095577
0.0122,-85.37713313946676
0.0123,-85.37713490797778
0.0124,-85.37713667648877
0.0125,-85.37713844499977
0.012600000000000002,-85.37714021351078
0.012700000000000001,-85.37714198202178
0.0128,-85.37714375053278
0.0129,-85.3771455190438
0.013,-85.37714728755479
0.013100000000000002,-85.37714905606579
0.013200000000000002,-85.3771508245768
0.013300000000000001,-85.3771525930878
0.0134,-85.3771543615988
0.0135,-85.37715613010981
0.013600000000000001,-85.37715789862081
0.0137,-85.3771596671318
0.013800000000000002,-85.3771614356428
0.013900000000000001,-85.37716320415382
0.014,-85.37716497266481
0.014100000000000001,-85.37716674117581
0.0142,-85.37716850968683
0.0143,-85.37717027819782
0.0144,-85.37717204670882
0.0145,-85.37717381521983
0.014600000000000002,-85.37717558373083
0.014700000000000001,-85.37717735224183
0.0148,-85.37717912075284
0.0149,-85.37718088926384
0.015,-85.37718265777484
0.0151,-85.37718442628585
0.015200000000000002,-85.37718619479685
0.015300000000000001,-85.37718796330785
0.0154,-85.37718973181886
0.0155,-85.37719150032986
0.015600000000000001,-85.37719326884086
0.015700000000000002,-85.37719503735187
0.0158,-85.37719680586287
0.0159,-85.37719857437386
0.016,-85.37720034288488
